sample	variable	skewing	skewed
302860	TRiXi - whole blood	58.7	not_skewed
302862	TRiXi - whole blood	54.233	not_skewed
302863	TRiXi - whole blood	56.1	not_skewed
302864	TRiXi - whole blood	53.3	not_skewed
302868	TRiXi - whole blood	53.6	not_skewed
302871	TRiXi - whole blood	53.7	not_skewed
302873	TRiXi - whole blood	60	not_skewed
302878	TRiXi - whole blood	52.2	not_skewed
302880	TRiXi - whole blood	77.3	not_skewed
302885	TRiXi - whole blood	61.233	not_skewed
302889	TRiXi - whole blood	54.9	not_skewed
302903	TRiXi - whole blood	56.033	not_skewed
302939	TRiXi - whole blood	55.7	not_skewed
302966	TRiXi - whole blood	51.867	not_skewed
302977	TRiXi - whole blood	65.3	not_skewed
302980	TRiXi - whole blood	74.833	not_skewed
302986	TRiXi - whole blood	56.8	not_skewed
303005	TRiXi - whole blood	58.1	not_skewed
303008	TRiXi - whole blood	53.2	not_skewed
303013	TRiXi - whole blood	65.8	not_skewed
303023	TRiXi - whole blood	66.6	not_skewed
303031	TRiXi - whole blood	70.6	not_skewed
303037	TRiXi - whole blood	53.533	not_skewed
303044	TRiXi - whole blood	57.1	not_skewed
303047	TRiXi - whole blood	62.367	not_skewed
303197	TRiXi - whole blood	75.5	not_skewed
303201	TRiXi - whole blood	54.533	not_skewed
303202	TRiXi - whole blood	51.8	not_skewed
303208	TRiXi - whole blood	63.967	not_skewed
303214	TRiXi - whole blood	73.333	not_skewed
303220	TRiXi - whole blood	60.3	not_skewed
303224	TRiXi - whole blood	60.4	not_skewed
303227	TRiXi - whole blood	67.167	not_skewed
303234	TRiXi - whole blood	59.1	not_skewed
303235	TRiXi - whole blood	73.2	not_skewed
303271	TRiXi - whole blood	64.567	not_skewed
303282	TRiXi - whole blood	57.6	not_skewed
303286	TRiXi - whole blood	53.9	not_skewed
303294	TRiXi - whole blood	61.7	not_skewed
303299	TRiXi - whole blood	53.967	not_skewed
303307	TRiXi - whole blood	54.533	not_skewed
303402	TRiXi - whole blood	63.7	not_skewed
303411	TRiXi - whole blood	67.9	not_skewed
303419	TRiXi - whole blood	93.3	skewed
303420	TRiXi - whole blood	75.333	not_skewed
303422	TRiXi - whole blood	77.6	not_skewed
303423	TRiXi - whole blood	64	not_skewed
303428	TRiXi - whole blood	59.9	not_skewed
303432	TRiXi - whole blood	56.1	not_skewed
303435	TRiXi - whole blood	56.1	not_skewed
303438	TRiXi - whole blood	57.467	not_skewed
303439	TRiXi - whole blood	58.367	not_skewed
303440	TRiXi - whole blood	74	not_skewed
303455	TRiXi - whole blood	58.9	not_skewed
303457	TRiXi - whole blood	57.9	not_skewed
303459	TRiXi - whole blood	50.8	not_skewed
303466	TRiXi - whole blood	68.567	not_skewed
303467	TRiXi - whole blood	66.8	not_skewed
303476	TRiXi - whole blood	55	not_skewed
303479	TRiXi - whole blood	64.2	not_skewed
303486	TRiXi - whole blood	65.767	not_skewed
303497	TRiXi - whole blood	52.467	not_skewed
303499	TRiXi - whole blood	57.4	not_skewed
303500	TRiXi - whole blood	63.7	not_skewed
303502	TRiXi - whole blood	65.833	not_skewed
303503	TRiXi - whole blood	56.833	not_skewed
303504	TRiXi - whole blood	53.133	not_skewed
303505	TRiXi - whole blood	59.667	not_skewed
303510	TRiXi - whole blood	53.7	not_skewed
303517	TRiXi - whole blood	58.967	not_skewed
303518	TRiXi - whole blood	55.233	not_skewed
303523	TRiXi - whole blood	61.9	not_skewed
303544	TRiXi - whole blood	54.2	not_skewed
303616	TRiXi - whole blood	55.033	not_skewed
303620	TRiXi - whole blood	52.4	not_skewed
303628	TRiXi - whole blood	50.9	not_skewed
303630	TRiXi - whole blood	63.933	not_skewed
303632	TRiXi - whole blood	53.4	not_skewed
303636	TRiXi - whole blood	71.9	not_skewed
303637	TRiXi - whole blood	53.367	not_skewed
303638	TRiXi - whole blood	53.033	not_skewed
303640	TRiXi - whole blood	85.7	skewed
303646	TRiXi - whole blood	56.3	not_skewed
303648	TRiXi - whole blood	67.9	not_skewed
303653	TRiXi - whole blood	67.3	not_skewed
303655	TRiXi - whole blood	76.7	not_skewed
303657	TRiXi - whole blood	65.433	not_skewed
303660	TRiXi - whole blood	53.9	not_skewed
303663	TRiXi - whole blood	69.3	not_skewed
303664	TRiXi - whole blood	66.2	not_skewed
303666	TRiXi - whole blood	69.4	not_skewed
303670	TRiXi - whole blood	82.5	skewed
303671	TRiXi - whole blood	62	not_skewed
303672	TRiXi - whole blood	75.3	not_skewed
303673	TRiXi - whole blood	53.3	not_skewed
303675	TRiXi - whole blood	71.333	not_skewed
303681	TRiXi - whole blood	62	not_skewed
303682	TRiXi - whole blood	51.9	not_skewed
303683	TRiXi - whole blood	63.1	not_skewed
303684	TRiXi - whole blood	87.5	skewed
303686	TRiXi - whole blood	82.5	skewed
303688	TRiXi - whole blood	72.4	not_skewed
303690	TRiXi - whole blood	59.333	not_skewed
303695	TRiXi - whole blood	70.667	not_skewed
303699	TRiXi - whole blood	57.233	not_skewed
303703	TRiXi - whole blood	83.1	skewed
303704	TRiXi - whole blood	50.3	not_skewed
303712	TRiXi - whole blood	62.4	not_skewed
303713	TRiXi - whole blood	80.5	skewed
303714	TRiXi - whole blood	65.333	not_skewed
303717	TRiXi - whole blood	51.3	not_skewed
303718	TRiXi - whole blood	64.7	not_skewed
303730	TRiXi - whole blood	57.967	not_skewed
303737	TRiXi - whole blood	64.2	not_skewed
303740	TRiXi - whole blood	56.9	not_skewed
303745	TRiXi - whole blood	56.133	not_skewed
303756	TRiXi - whole blood	54.6	not_skewed
303757	TRiXi - whole blood	64.6	not_skewed
303762	TRiXi - whole blood	72.5	not_skewed
303767	TRiXi - whole blood	62.9	not_skewed
303768	TRiXi - whole blood	58.5	not_skewed
303772	TRiXi - whole blood	64.967	not_skewed
303773	TRiXi - whole blood	51.5	not_skewed
303778	TRiXi - whole blood	54.7	not_skewed
303786	TRiXi - whole blood	71.2	not_skewed
303787	TRiXi - whole blood	72.2	not_skewed
303795	TRiXi - whole blood	67	not_skewed
303799	TRiXi - whole blood	56.9	not_skewed
303800	TRiXi - whole blood	73.1	not_skewed
305105	TRiXi - whole blood	58.3	not_skewed
305127	TRiXi - whole blood	62.467	not_skewed
305130	TRiXi - whole blood	59.767	not_skewed
305131	TRiXi - whole blood	59.033	not_skewed
305151	TRiXi - whole blood	61.533	not_skewed
305163	TRiXi - whole blood	69.9	not_skewed
305165	TRiXi - whole blood	75	not_skewed
305177	TRiXi - whole blood	66.4	not_skewed
305354	TRiXi - whole blood	66.7	not_skewed
305369	TRiXi - whole blood	58.367	not_skewed
305379	TRiXi - whole blood	59	not_skewed
305382	TRiXi - whole blood	58.1	not_skewed
305391	TRiXi - whole blood	53.8	not_skewed
307816	TRiXi - whole blood	67	not_skewed
307821	TRiXi - whole blood	53.5	not_skewed
307822	TRiXi - whole blood	57.667	not_skewed
307827	TRiXi - whole blood	77.667	not_skewed
307832	TRiXi - whole blood	52.4	not_skewed
307835	TRiXi - whole blood	58.6	not_skewed
307837	TRiXi - whole blood	55.3	not_skewed
307838	TRiXi - whole blood	66.333	not_skewed
307839	TRiXi - whole blood	84.433	skewed
307899	TRiXi - whole blood	51.8	not_skewed
307902	TRiXi - whole blood	71.2	not_skewed
307903	TRiXi - whole blood	53.9	not_skewed
307915	TRiXi - whole blood	61.7	not_skewed
307917	TRiXi - whole blood	71.5	not_skewed
307919	TRiXi - whole blood	67.5	not_skewed
307921	TRiXi - whole blood	64.567	not_skewed
307924	TRiXi - whole blood	64.7	not_skewed
307927	TRiXi - whole blood	85.5	skewed
307929	TRiXi - whole blood	50.2	not_skewed
307933	TRiXi - whole blood	54.767	not_skewed
307937	TRiXi - whole blood	55.4	not_skewed
307938	TRiXi - whole blood	54	not_skewed
307940	TRiXi - whole blood	71.167	not_skewed
307942	TRiXi - whole blood	53.6	not_skewed
307959	TRiXi - whole blood	60.7	not_skewed
307973	TRiXi - whole blood	59.833	not_skewed
307974	TRiXi - whole blood	62.2	not_skewed
307976	TRiXi - whole blood	55.6	not_skewed
307999	TRiXi - whole blood	59.4	not_skewed
309242	TRiXi - whole blood	76.78	not_skewed
313013	TRiXi - whole blood	53.68	not_skewed
313605	TRiXi - whole blood	61.067	not_skewed
313609	TRiXi - whole blood	62.42	not_skewed
313633	TRiXi - whole blood	72.3	not_skewed
313639	TRiXi - whole blood	64.167	not_skewed
313642	TRiXi - whole blood	58.4	not_skewed
313644	TRiXi - whole blood	56.58	not_skewed
313668	TRiXi - whole blood	82.16	skewed
313673	TRiXi - whole blood	54.675	not_skewed
313690	TRiXi - whole blood	67.067	not_skewed
313694	TRiXi - whole blood	60.1	not_skewed
313696	TRiXi - whole blood	52.8	not_skewed
313697	TRiXi - whole blood	67.1	not_skewed
314100	TRiXi - whole blood	57.083	not_skewed
314311	TRiXi - whole blood	64.967	not_skewed
315015	TRiXi - whole blood	55.76	not_skewed
315049	TRiXi - whole blood	84.24	skewed
315058	TRiXi - whole blood	66.72	not_skewed
315077	TRiXi - whole blood	60.9	not_skewed
315092	TRiXi - whole blood	62.875	not_skewed
315129	TRiXi - whole blood	64	not_skewed
315163	TRiXi - whole blood	54.467	not_skewed
315186	TRiXi - whole blood	68	not_skewed
315188	TRiXi - whole blood	69.917	not_skewed
315199	TRiXi - whole blood	67.52	not_skewed
315202	TRiXi - whole blood	63.183	not_skewed
315215	TRiXi - whole blood	68.78	not_skewed
315222	TRiXi - whole blood	55.233	not_skewed
315228	TRiXi - whole blood	52.8	not_skewed
315269	TRiXi - whole blood	52.5	not_skewed
315313	TRiXi - whole blood	57.775	not_skewed
315324	TRiXi - whole blood	53.68	not_skewed
315326	TRiXi - whole blood	58.8	not_skewed
315339	TRiXi - whole blood	58.033	not_skewed
315385	TRiXi - whole blood	55.025	not_skewed
315386	TRiXi - whole blood	54.18	not_skewed
315400	TRiXi - whole blood	75.933	not_skewed
315867	TRiXi - whole blood	63.8	not_skewed
315906	TRiXi - whole blood	59.075	not_skewed
315911	TRiXi - whole blood	59.6	not_skewed
315918	TRiXi - whole blood	67.233	not_skewed
315922	TRiXi - whole blood	63.975	not_skewed
315945	TRiXi - whole blood	65.5	not_skewed
315952	TRiXi - whole blood	69.76	not_skewed
315973	TRiXi - whole blood	68.02	not_skewed
315988	TRiXi - whole blood	81.233	skewed
316010	TRiXi - whole blood	57.2	not_skewed
316274	TRiXi - whole blood	75.425	not_skewed
316301	TRiXi - whole blood	61.6	not_skewed
316302	TRiXi - whole blood	61.3	not_skewed
316314	TRiXi - whole blood	50.5	not_skewed
316315	TRiXi - whole blood	57.6	not_skewed
316324	TRiXi - whole blood	59.42	not_skewed
316327	TRiXi - whole blood	58.08	not_skewed
316340	TRiXi - whole blood	85	skewed
316345	TRiXi - whole blood	51.525	not_skewed
316346	TRiXi - whole blood	62.9	not_skewed
316348	TRiXi - whole blood	70.733	not_skewed
316354	TRiXi - whole blood	67.6	not_skewed
316367	TRiXi - whole blood	61	not_skewed
316373	TRiXi - whole blood	64.38	not_skewed
316387	TRiXi - whole blood	76.3	not_skewed
316389	TRiXi - whole blood	83.567	skewed
316415	TRiXi - whole blood	70.5	not_skewed
316468	TRiXi - whole blood	67	not_skewed
316472	TRiXi - whole blood	51.8	not_skewed
316476	TRiXi - whole blood	72.975	not_skewed
316493	TRiXi - whole blood	61.4	not_skewed
316502	TRiXi - whole blood	57.833	not_skewed
316517	TRiXi - whole blood	54.967	not_skewed
316544	TRiXi - whole blood	61.9	not_skewed
316558	TRiXi - whole blood	56.167	not_skewed
316561	TRiXi - whole blood	61	not_skewed
316568	TRiXi - whole blood	58.767	not_skewed
316604	TRiXi - whole blood	57.02	not_skewed
316611	TRiXi - whole blood	53.42	not_skewed
316613	TRiXi - whole blood	54.175	not_skewed
316635	TRiXi - whole blood	61.3	not_skewed
316647	TRiXi - whole blood	64.52	not_skewed
316652	TRiXi - whole blood	81.9	skewed
316653	TRiXi - whole blood	64.333	not_skewed
316654	TRiXi - whole blood	73.3	not_skewed
316662	TRiXi - whole blood	57.233	not_skewed
316676	TRiXi - whole blood	55.525	not_skewed
316680	TRiXi - whole blood	54.7	not_skewed
316683	TRiXi - whole blood	55.3	not_skewed
316689	TRiXi - whole blood	64.72	not_skewed
316700	TRiXi - whole blood	72.98	not_skewed
316707	TRiXi - whole blood	60.88	not_skewed
316714	TRiXi - whole blood	61.8	not_skewed
316721	TRiXi - whole blood	52.025	not_skewed
316732	TRiXi - whole blood	51.8	not_skewed
316755	TRiXi - whole blood	71.7	not_skewed
316757	TRiXi - whole blood	65.167	not_skewed
316765	TRiXi - whole blood	66.233	not_skewed
316769	TRiXi - whole blood	63.3	not_skewed
316785	TRiXi - whole blood	62.3	not_skewed
316795	TRiXi - whole blood	69.15	not_skewed
316798	TRiXi - whole blood	60.24	not_skewed
316803	TRiXi - whole blood	82.8	skewed
316809	TRiXi - whole blood	60.625	not_skewed
316819	TRiXi - whole blood	72.9	not_skewed
316820	TRiXi - whole blood	69.25	not_skewed
316849	TRiXi - whole blood	53.6	not_skewed
316856	TRiXi - whole blood	58.18	not_skewed
316861	TRiXi - whole blood	56.3	not_skewed
316879	TRiXi - whole blood	57.867	not_skewed
316886	TRiXi - whole blood	67.72	not_skewed
316903	TRiXi - whole blood	57.98	not_skewed
316914	TRiXi - whole blood	62.133	not_skewed
316960	TRiXi - whole blood	54.533	not_skewed
316970	TRiXi - whole blood	54.383	not_skewed
316972	TRiXi - whole blood	57.08	not_skewed
316977	TRiXi - whole blood	82.36	skewed
316984	TRiXi - whole blood	58.94	not_skewed
316987	TRiXi - whole blood	57.667	not_skewed
316994	TRiXi - whole blood	57.24	not_skewed
316997	TRiXi - whole blood	53.333	not_skewed
316998	TRiXi - whole blood	72.067	not_skewed
317001	TRiXi - whole blood	59.5	not_skewed
317006	TRiXi - whole blood	93.8	skewed
317008	TRiXi - whole blood	68.025	not_skewed
317017	TRiXi - whole blood	63.02	not_skewed
317023	TRiXi - whole blood	60.44	not_skewed
317027	TRiXi - whole blood	71.14	not_skewed
317031	TRiXi - whole blood	78.433	not_skewed
317043	TRiXi - whole blood	54.4	not_skewed
317048	TRiXi - whole blood	59.65	not_skewed
317055	TRiXi - whole blood	63.875	not_skewed
317064	TRiXi - whole blood	56.2	not_skewed
317065	TRiXi - whole blood	65.4	not_skewed
317067	TRiXi - whole blood	52.233	not_skewed
317081	TRiXi - whole blood	59.04	not_skewed
317112	TRiXi - whole blood	59.125	not_skewed
317121	TRiXi - whole blood	65.02	not_skewed
317134	TRiXi - whole blood	56.975	not_skewed
317158	TRiXi - whole blood	81.433	skewed
317159	TRiXi - whole blood	62.1	not_skewed
317168	TRiXi - whole blood	78.7	not_skewed
317189	TRiXi - whole blood	63.433	not_skewed
317204	TRiXi - whole blood	54.1	not_skewed
317205	TRiXi - whole blood	57.8	not_skewed
317218	TRiXi - whole blood	60.467	not_skewed
317233	TRiXi - whole blood	74.1	not_skewed
317234	TRiXi - whole blood	52.3	not_skewed
317243	TRiXi - whole blood	61.5	not_skewed
317258	TRiXi - whole blood	57.1	not_skewed
317280	TRiXi - whole blood	53.96	not_skewed
317281	TRiXi - whole blood	53.067	not_skewed
317292	TRiXi - whole blood	67.333	not_skewed
317296	TRiXi - whole blood	56.3	not_skewed
317315	TRiXi - whole blood	57.5	not_skewed
317317	TRiXi - whole blood	60.12	not_skewed
317347	TRiXi - whole blood	67.1	not_skewed
317361	TRiXi - whole blood	64.1	not_skewed
317366	TRiXi - whole blood	55.22	not_skewed
317380	TRiXi - whole blood	61	not_skewed
317386	TRiXi - whole blood	58.075	not_skewed
317398	TRiXi - whole blood	52.825	not_skewed
317402	TRiXi - whole blood	54.2	not_skewed
317409	TRiXi - whole blood	53.233	not_skewed
317412	TRiXi - whole blood	55.867	not_skewed
317419	TRiXi - whole blood	58.32	not_skewed
317427	TRiXi - whole blood	57.72	not_skewed
317431	TRiXi - whole blood	60.767	not_skewed
317438	TRiXi - whole blood	56.667	not_skewed
317450	TRiXi - whole blood	66.8	not_skewed
317457	TRiXi - whole blood	53.967	not_skewed
317460	TRiXi - whole blood	68.02	not_skewed
317464	TRiXi - whole blood	57.7	not_skewed
317490	TRiXi - whole blood	50.8	not_skewed
317491	TRiXi - whole blood	55.833	not_skewed
317498	TRiXi - whole blood	62.78	not_skewed
317501	TRiXi - whole blood	51.3	not_skewed
317513	TRiXi - whole blood	70.967	not_skewed
317526	TRiXi - whole blood	50.8	not_skewed
317543	TRiXi - whole blood	60.3	not_skewed
317551	TRiXi - whole blood	52.1	not_skewed
317568	TRiXi - whole blood	70.92	not_skewed
317597	TRiXi - whole blood	75.1	not_skewed
317607	TRiXi - whole blood	58.967	not_skewed
317624	TRiXi - whole blood	60.42	not_skewed
317631	TRiXi - whole blood	85.1	skewed
317636	TRiXi - whole blood	55.1	not_skewed
317661	TRiXi - whole blood	55.867	not_skewed
317669	TRiXi - whole blood	56.633	not_skewed
317671	TRiXi - whole blood	77.975	not_skewed
317674	TRiXi - whole blood	61.3	not_skewed
317680	TRiXi - whole blood	62.5	not_skewed
317689	TRiXi - whole blood	70.9	not_skewed
317706	TRiXi - whole blood	56.467	not_skewed
317710	TRiXi - whole blood	66.1	not_skewed
317711	TRiXi - whole blood	63.32	not_skewed
317722	TRiXi - whole blood	68.567	not_skewed
317727	TRiXi - whole blood	76.6	not_skewed
317734	TRiXi - whole blood	70.333	not_skewed
317740	TRiXi - whole blood	57.167	not_skewed
317766	TRiXi - whole blood	54.467	not_skewed
317767	TRiXi - whole blood	58.5	not_skewed
317779	TRiXi - whole blood	80.3	skewed
317793	TRiXi - whole blood	60.54	not_skewed
317803	TRiXi - whole blood	56.42	not_skewed
317824	TRiXi - whole blood	67.7	not_skewed
317838	TRiXi - whole blood	60	not_skewed
317848	TRiXi - whole blood	64.767	not_skewed
317852	TRiXi - whole blood	62.3	not_skewed
317855	TRiXi - whole blood	57.04	not_skewed
317904	TRiXi - whole blood	59.083	not_skewed
317910	TRiXi - whole blood	60.633	not_skewed
317913	TRiXi - whole blood	57.425	not_skewed
317917	TRiXi - whole blood	60.483	not_skewed
317921	TRiXi - whole blood	58	not_skewed
317935	TRiXi - whole blood	58.033	not_skewed
317958	TRiXi - whole blood	61.7	not_skewed
317959	TRiXi - whole blood	54.96	not_skewed
317974	TRiXi - whole blood	53.6	not_skewed
318005	TRiXi - whole blood	51.8	not_skewed
318021	TRiXi - whole blood	65.975	not_skewed
318025	TRiXi - whole blood	74.975	not_skewed
318029	TRiXi - whole blood	53.9	not_skewed
318030	TRiXi - whole blood	65.52	not_skewed
318034	TRiXi - whole blood	83.12	skewed
318035	TRiXi - whole blood	61.1	not_skewed
318050	TRiXi - whole blood	65.633	not_skewed
318058	TRiXi - whole blood	60.167	not_skewed
318075	TRiXi - whole blood	57.717	not_skewed
318085	TRiXi - whole blood	56.867	not_skewed
318088	TRiXi - whole blood	63.075	not_skewed
318095	TRiXi - whole blood	77.575	not_skewed
318113	TRiXi - whole blood	61.475	not_skewed
318120	TRiXi - whole blood	63.967	not_skewed
318126	TRiXi - whole blood	60.82	not_skewed
318136	TRiXi - whole blood	70.667	not_skewed
318150	TRiXi - whole blood	71.825	not_skewed
318160	TRiXi - whole blood	58.133	not_skewed
318165	TRiXi - whole blood	73.225	not_skewed
318176	TRiXi - whole blood	61.66	not_skewed
318198	TRiXi - whole blood	53.5	not_skewed
318205	TRiXi - whole blood	70.475	not_skewed
318244	TRiXi - whole blood	77.4	not_skewed
318250	TRiXi - whole blood	72.8	not_skewed
318252	TRiXi - whole blood	57.4	not_skewed
318257	TRiXi - whole blood	52.033	not_skewed
318271	TRiXi - whole blood	58.8	not_skewed
318288	TRiXi - whole blood	61.917	not_skewed
318290	TRiXi - whole blood	59.25	not_skewed
318291	TRiXi - whole blood	54	not_skewed
318292	TRiXi - whole blood	53.92	not_skewed
318293	TRiXi - whole blood	59.3	not_skewed
318322	TRiXi - whole blood	66.34	not_skewed
318326	TRiXi - whole blood	64.78	not_skewed
318328	TRiXi - whole blood	66.56	not_skewed
318329	TRiXi - whole blood	70.125	not_skewed
318333	TRiXi - whole blood	54.467	not_skewed
318344	TRiXi - whole blood	65.6	not_skewed
318351	TRiXi - whole blood	58.033	not_skewed
318374	TRiXi - whole blood	53.8	not_skewed
318417	TRiXi - whole blood	63.667	not_skewed
318422	TRiXi - whole blood	70.38	not_skewed
318433	TRiXi - whole blood	58.62	not_skewed
318450	TRiXi - whole blood	50.4	not_skewed
318458	TRiXi - whole blood	54.28	not_skewed
318466	TRiXi - whole blood	77.3	not_skewed
318470	TRiXi - whole blood	63.8	not_skewed
318485	TRiXi - whole blood	66.1	not_skewed
318489	TRiXi - whole blood	54.275	not_skewed
318497	TRiXi - whole blood	55.533	not_skewed
318520	TRiXi - whole blood	53.967	not_skewed
318523	TRiXi - whole blood	59.875	not_skewed
318531	TRiXi - whole blood	81.975	skewed
318573	TRiXi - whole blood	60.2	not_skewed
318580	TRiXi - whole blood	63.6	not_skewed
318581	TRiXi - whole blood	63.48	not_skewed
318600	TRiXi - whole blood	72.7	not_skewed
318609	TRiXi - whole blood	80.333	skewed
318625	TRiXi - whole blood	56.167	not_skewed
318641	TRiXi - whole blood	55.3	not_skewed
318642	TRiXi - whole blood	53.517	not_skewed
318643	TRiXi - whole blood	65.18	not_skewed
318662	TRiXi - whole blood	56.34	not_skewed
318680	TRiXi - whole blood	78.025	not_skewed
318689	TRiXi - whole blood	64.7	not_skewed
318726	TRiXi - whole blood	68.5	not_skewed
318730	TRiXi - whole blood	60.6	not_skewed
318736	TRiXi - whole blood	57.967	not_skewed
318745	TRiXi - whole blood	83.7	skewed
318761	TRiXi - whole blood	58.867	not_skewed
318765	TRiXi - whole blood	72.167	not_skewed
318766	TRiXi - whole blood	54.383	not_skewed
318793	TRiXi - whole blood	58.767	not_skewed
318799	TRiXi - whole blood	53.1	not_skewed
318810	TRiXi - whole blood	59.9	not_skewed
318812	TRiXi - whole blood	61.367	not_skewed
318825	TRiXi - whole blood	51.825	not_skewed
318852	TRiXi - whole blood	63.2	not_skewed
318863	TRiXi - whole blood	61.7	not_skewed
318889	TRiXi - whole blood	62.5	not_skewed
319000	TRiXi - whole blood	51.1	not_skewed
319015	TRiXi - whole blood	58.8	not_skewed
319016	TRiXi - whole blood	57	not_skewed
319023	TRiXi - whole blood	59.475	not_skewed
319037	TRiXi - whole blood	54.68	not_skewed
319042	TRiXi - whole blood	58.92	not_skewed
319056	TRiXi - whole blood	60.375	not_skewed
319064	TRiXi - whole blood	73.1	not_skewed
319080	TRiXi - whole blood	51.2	not_skewed
319082	TRiXi - whole blood	56.8	not_skewed
319096	TRiXi - whole blood	55.175	not_skewed
319141	TRiXi - whole blood	78.033	not_skewed
319153	TRiXi - whole blood	63.08	not_skewed
319155	TRiXi - whole blood	74.8	not_skewed
319165	TRiXi - whole blood	57.18	not_skewed
319170	TRiXi - whole blood	73.775	not_skewed
319187	TRiXi - whole blood	61.667	not_skewed
319189	TRiXi - whole blood	54.3	not_skewed
319197	TRiXi - whole blood	65	not_skewed
319231	TRiXi - whole blood	56.275	not_skewed
319235	TRiXi - whole blood	52.4	not_skewed
319250	TRiXi - whole blood	78	not_skewed
319276	TRiXi - whole blood	50.7	not_skewed
319289	TRiXi - whole blood	56.8	not_skewed
319321	TRiXi - whole blood	63	not_skewed
319325	TRiXi - whole blood	56.425	not_skewed
319329	TRiXi - whole blood	72.775	not_skewed
319334	TRiXi - whole blood	53.46	not_skewed
319345	TRiXi - whole blood	81.4	skewed
319356	TRiXi - whole blood	58.5	not_skewed
319361	TRiXi - whole blood	59.78	not_skewed
319367	TRiXi - whole blood	53.52	not_skewed
319408	TRiXi - whole blood	63.867	not_skewed
319433	TRiXi - whole blood	69.9	not_skewed
319459	TRiXi - whole blood	71.1	not_skewed
319460	TRiXi - whole blood	62.1	not_skewed
319470	TRiXi - whole blood	62.025	not_skewed
319471	TRiXi - whole blood	54.5	not_skewed
319489	TRiXi - whole blood	64.275	not_skewed
319512	TRiXi - whole blood	70.6	not_skewed
319525	TRiXi - whole blood	64.533	not_skewed
319532	TRiXi - whole blood	55.75	not_skewed
319569	TRiXi - whole blood	55.217	not_skewed
319579	TRiXi - whole blood	63.5	not_skewed
319592	TRiXi - whole blood	72.1	not_skewed
319607	TRiXi - whole blood	65.75	not_skewed
319638	TRiXi - whole blood	69	not_skewed
319678	TRiXi - whole blood	66.5	not_skewed
319681	TRiXi - whole blood	63.46	not_skewed
319689	TRiXi - whole blood	55.14	not_skewed
319691	TRiXi - whole blood	60.033	not_skewed
319707	TRiXi - whole blood	65.8	not_skewed
319710	TRiXi - whole blood	61.1	not_skewed
319711	TRiXi - whole blood	54.5	not_skewed
319715	TRiXi - whole blood	58.5	not_skewed
319726	TRiXi - whole blood	78.967	not_skewed
319748	TRiXi - whole blood	61.1	not_skewed
319806	TRiXi - whole blood	62	not_skewed
319808	TRiXi - whole blood	68.9	not_skewed
319814	TRiXi - whole blood	59.1	not_skewed
319820	TRiXi - whole blood	70.84	not_skewed
319822	TRiXi - whole blood	56.2	not_skewed
319824	TRiXi - whole blood	67.733	not_skewed
319827	TRiXi - whole blood	60.3	not_skewed
319830	TRiXi - whole blood	69.4	not_skewed
319875	TRiXi - whole blood	56.225	not_skewed
319890	TRiXi - whole blood	82.933	skewed
320229	TRiXi - whole blood	79.95	not_skewed
320233	TRiXi - whole blood	66.6	not_skewed
320234	TRiXi - whole blood	56.633	not_skewed
320248	TRiXi - whole blood	91.325	skewed
320254	TRiXi - whole blood	62.1	not_skewed
320255	TRiXi - whole blood	67.683	not_skewed
320256	TRiXi - whole blood	61.917	not_skewed
320277	TRiXi - whole blood	64.325	not_skewed
320280	TRiXi - whole blood	96.967	skewed
320290	TRiXi - whole blood	76.4	not_skewed
320345	TRiXi - whole blood	68.625	not_skewed
320357	TRiXi - whole blood	53.483	not_skewed
320362	TRiXi - whole blood	77.7	not_skewed
320376	TRiXi - whole blood	66.1	not_skewed
320420	TRiXi - whole blood	60.34	not_skewed
320433	TRiXi - whole blood	62.8	not_skewed
320468	TRiXi - whole blood	59.483	not_skewed
320486	TRiXi - whole blood	59.333	not_skewed
320511	TRiXi - whole blood	63.8	not_skewed
320525	TRiXi - whole blood	62.06	not_skewed
320547	TRiXi - whole blood	65.433	not_skewed
320560	TRiXi - whole blood	66.7	not_skewed
320564	TRiXi - whole blood	67.917	not_skewed
320566	TRiXi - whole blood	52.5	not_skewed
320570	TRiXi - whole blood	64.167	not_skewed
320574	TRiXi - whole blood	93.775	skewed
320601	TRiXi - whole blood	52.333	not_skewed
320607	TRiXi - whole blood	58.217	not_skewed
320615	TRiXi - whole blood	68.433	not_skewed
320658	TRiXi - whole blood	70.8	not_skewed
320668	TRiXi - whole blood	69.92	not_skewed
320678	TRiXi - whole blood	64.5	not_skewed
320822	TRiXi - whole blood	69.04	not_skewed
320832	TRiXi - whole blood	66.967	not_skewed
320835	TRiXi - whole blood	58.183	not_skewed
320841	TRiXi - whole blood	53.9	not_skewed
320843	TRiXi - whole blood	62.925	not_skewed
320862	TRiXi - whole blood	56.7	not_skewed
320864	TRiXi - whole blood	78.3	not_skewed
320888	TRiXi - whole blood	71.76	not_skewed
320891	TRiXi - whole blood	63.867	not_skewed
320896	TRiXi - whole blood	59.5	not_skewed
320901	TRiXi - whole blood	57.76	not_skewed
320902	TRiXi - whole blood	76.58	not_skewed
321022	TRiXi - whole blood	84.1	skewed
321025	TRiXi - whole blood	67	not_skewed
321051	TRiXi - whole blood	61.917	not_skewed
321053	TRiXi - whole blood	55.1	not_skewed
321063	TRiXi - whole blood	55.36	not_skewed
321094	TRiXi - whole blood	52.3	not_skewed
321433	TRiXi - whole blood	59.6	not_skewed
