sample	variable	skewing	skewed
GTEX-1HCUA	GTEx - whole blood	74	not_skewed
GTEX-1HFI7	GTEx - whole blood	92.1	skewed
GTEX-1HSGN	GTEx - whole blood	64.5	not_skewed
GTEX-1I1CD	GTEx - whole blood	85.7	skewed
GTEX-1I1GT	GTEx - whole blood	59.8	not_skewed
GTEX-1I4MK	GTEx - whole blood	95.7	skewed
GTEX-1ICG6	GTEx - whole blood	75	not_skewed
GTEX-1IDJE	GTEx - whole blood	83.7	skewed
GTEX-1IDJI	GTEx - whole blood	72.7	not_skewed
GTEX-1IDJU	GTEx - whole blood	76.1	not_skewed
GTEX-1IE54	GTEx - whole blood	72.7	not_skewed
GTEX-1IKOE	GTEx - whole blood	72.7	not_skewed
GTEX-1IKOH	GTEx - whole blood	98.6	skewed
GTEX-1J8EW	GTEx - whole blood	71.9	not_skewed
GTEX-1J8JJ	GTEx - whole blood	67.9	not_skewed
GTEX-1J8QM	GTEx - whole blood	82.8	skewed
GTEX-1JMOU	GTEx - whole blood	54.8	not_skewed
GTEX-1JMQL	GTEx - whole blood	80.4	skewed
GTEX-1JN1M	GTEx - whole blood	59.5	not_skewed
GTEX-1JN76	GTEx - whole blood	59.2	not_skewed
GTEX-1K9T9	GTEx - whole blood	67.4	not_skewed
GTEX-1KANC	GTEx - whole blood	57.1	not_skewed
GTEX-1LGOU	GTEx - whole blood	62.3	not_skewed
GTEX-1LH75	GTEx - whole blood	90.3	skewed
GTEX-1LKK1	GTEx - whole blood	88.4	skewed
GTEX-1LNCM	GTEx - whole blood	58.8	not_skewed
GTEX-1LVAM	GTEx - whole blood	64.7	not_skewed
GTEX-1LVAN	GTEx - whole blood	81.8	skewed
GTEX-1MA7W	GTEx - whole blood	66.7	not_skewed
GTEX-1MCC2	GTEx - whole blood	91.1	skewed
GTEX-1MCYP	GTEx - whole blood	68.1	not_skewed
GTEX-1NUQO	GTEx - whole blood	65	not_skewed
GTEX-1OJC4	GTEx - whole blood	69.2	not_skewed
GTEX-1PBJI	GTEx - whole blood	74.2	not_skewed
GTEX-1PIEJ	GTEx - whole blood	77.3	not_skewed
GTEX-1POEN	GTEx - whole blood	66.3	not_skewed
GTEX-1QCLZ	GTEx - whole blood	72.2	not_skewed
GTEX-1QEPI	GTEx - whole blood	67.3	not_skewed
GTEX-1QP28	GTEx - whole blood	92	skewed
GTEX-1QP67	GTEx - whole blood	57.9	not_skewed
GTEX-1QPFJ	GTEx - whole blood	66.7	not_skewed
GTEX-1R46S	GTEx - whole blood	95.1	skewed
GTEX-1R9JW	GTEx - whole blood	59.6	not_skewed
GTEX-1R9PN	GTEx - whole blood	61.4	not_skewed
GTEX-1R9PO	GTEx - whole blood	54.5	not_skewed
GTEX-1RDX4	GTEx - whole blood	70.4	not_skewed
GTEX-1RNTQ	GTEx - whole blood	70.3	not_skewed
GTEX-1S5ZU	GTEx - whole blood	67.9	not_skewed
GTEX-1S82P	GTEx - whole blood	58.3	not_skewed
GTEX-1S82U	GTEx - whole blood	82.7	skewed
GTEX-1S82Z	GTEx - whole blood	75	not_skewed
GTEX-NL3G	GTEx - whole blood	69.2	not_skewed
GTEX-OHPL	GTEx - whole blood	57.1	not_skewed
GTEX-OHPN	GTEx - whole blood	73.1	not_skewed
GTEX-P78B	GTEx - whole blood	68.6	not_skewed
GTEX-POMQ	GTEx - whole blood	62.5	not_skewed
GTEX-PWCY	GTEx - whole blood	62.5	not_skewed
GTEX-PWN1	GTEx - whole blood	87.5	skewed
GTEX-PWO3	GTEx - whole blood	73.6	not_skewed
GTEX-PX3G	GTEx - whole blood	66.7	not_skewed
GTEX-QCQG	GTEx - whole blood	58.6	not_skewed
GTEX-R45C	GTEx - whole blood	72.2	not_skewed
GTEX-S4P3	GTEx - whole blood	96.3	skewed
GTEX-SN8G	GTEx - whole blood	93.9	skewed
GTEX-TML8	GTEx - whole blood	71.4	not_skewed
GTEX-TMMY	GTEx - whole blood	58.7	not_skewed
GTEX-UJHI	GTEx - whole blood	58.1	not_skewed
GTEX-UPIC	GTEx - whole blood	100	skewed
GTEX-VJWN	GTEx - whole blood	94.1	skewed
GTEX-WI4N	GTEx - whole blood	58.3	not_skewed
GTEX-WRHK	GTEx - whole blood	61.5	not_skewed
GTEX-WRHU	GTEx - whole blood	57.4	not_skewed
GTEX-WXYG	GTEx - whole blood	58.3	not_skewed
GTEX-WYBS	GTEx - whole blood	82.8	skewed
GTEX-X638	GTEx - whole blood	85.7	skewed
GTEX-X8HC	GTEx - whole blood	68.7	not_skewed
GTEX-XMD2	GTEx - whole blood	74.3	not_skewed
GTEX-XOT4	GTEx - whole blood	79.3	not_skewed
GTEX-XUJ4	GTEx - whole blood	100	skewed
GTEX-XUW1	GTEx - whole blood	68.6	not_skewed
GTEX-XUZC	GTEx - whole blood	64.8	not_skewed
GTEX-XV7Q	GTEx - whole blood	72.4	not_skewed
GTEX-XYKS	GTEx - whole blood	57.1	not_skewed
