num_repeats	tag	closest_gene
19	trip	AR
19	trip	AR
19	trip	AR
25	trip	AR
11	trip	CNKSR2
11	trip	CNKSR2
11	trip	CNKSR2
11	trip	CNKSR2
12	trip	CNKSR2
12	trip	CNKSR2
12	trip	CNKSR2
12	trip	CNKSR2
11	trip	CNKSR2
16	trip	ARHGAP6
10	quad	TCAC1
10	quad	TCAC1
10	quad	TCAC1
10	quad	TCAC1
10	quad	TCAC1
10	quad	TCAC1
10	quad	TCAC1
10	quad	TCAC1
9	quad	TCAC1
10	quad	TCAC1
10	quad	TCAC1
10	quad	TCAC1
10	quad	TCAC1
12	quad	ZIC3
12	quad	ZIC3
12	quad	ZIC3
13	quad	RP2
13	quad	RP2
13	quad	RP2
13	quad	RP2
17	quad	RP2
13	quad	RP2
10	quad	TCAC1
10	quad	TCAC1
10	quad	TCAC1
10	quad	TCAC1
10	quad	TCAC1
12	quad	ZIC3
12	quad	ZIC3
12	quad	ZIC3
12	quad	ZIC3
12	quad	ZIC3
10	quad	ZIC3
15	quad	RP2
11	quad	TCAC1
12	quad	TCAC1
11	quad	TCAC1
10	quad	TCAC1
9	quad	TCAC1
11	quad	TCAC1
11	quad	ZIC3
11	quad	ZIC3
12	quad	ZIC3
11	quad	ZIC3
14	quad	RP2
15	quad	RP2
15	quad	RP2
15	quad	RP2
10	quad	TCAC1
10	quad	TCAC1
11	quad	TCAC1
7	quad	TCAC1
10	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
10	quad	TCAC1
10	quad	TCAC1
10	quad	TCAC1
10	quad	TCAC1
10	quad	TCAC1
10	quad	TCAC1
10	quad	TCAC1
12	quad	ZIC3
15	quad	RP2
15	quad	RP2
11	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
10	quad	TCAC1
10	quad	TCAC1
10	quad	TCAC1
10	quad	TCAC1
11	quad	TCAC1
10	quad	TCAC1
10	quad	TCAC1
12	quad	ZIC3
12	quad	ZIC3
11	quad	ZIC3
11	quad	ZIC3
11	quad	ZIC3
11	quad	ZIC3
11	quad	RP2
15	quad	RP2
15	quad	RP2
15	quad	RP2
10	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
10	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
10	quad	TCAC1
10	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
11	quad	ZIC3
11	quad	ZIC3
11	quad	ZIC3
11	quad	ZIC3
12	quad	ZIC3
12	quad	ZIC3
11	quad	ZIC3
10	quad	TCAC1
10	quad	ZIC3
10	quad	ZIC3
10	quad	ZIC3
16	quad	RP2
16	quad	RP2
10	quad	TCAC1
10	quad	TCAC1
10	quad	ZIC3
10	quad	ZIC3
10	quad	ZIC3
14	quad	RP2
14	quad	RP2
15	quad	RP2
14	quad	RP2
11	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
11	quad	ZIC3
11	quad	ZIC3
11	quad	ZIC3
11	quad	ZIC3
14	quad	RP2
14	quad	RP2
15	quad	RP2
11	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
11	quad	ZIC3
11	quad	ZIC3
11	quad	ZIC3
11	quad	ZIC3
15	quad	RP2
15	quad	RP2
15	quad	RP2
15	quad	RP2
15	quad	RP2
15	quad	RP2
11	quad	TCAC1
11	quad	TCAC1
10	quad	TCAC1
10	quad	TCAC1
10	quad	TCAC1
10	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
9	quad	ZIC3
10	quad	ZIC3
15	quad	RP2
15	quad	RP2
11	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
10	quad	TCAC1
10	quad	TCAC1
11	quad	TCAC1
9	quad	ZIC3
9	quad	ZIC3
9	quad	ZIC3
9	quad	ZIC3
9	quad	ZIC3
9	quad	ZIC3
7	quad	ZIC3
10	quad	ZIC3
9	quad	ZIC3
11	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
11	quad	ZIC3
11	quad	ZIC3
11	quad	ZIC3
11	quad	ZIC3
9	quad	RP2
9	quad	RP2
9	quad	RP2
13	quad	RP2
11	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
11	quad	TCAC1
11	quad	ZIC3
11	quad	ZIC3
11	quad	ZIC3
15	quad	RP2
10	quad	TCAC1
11	quad	TCAC1
