participant	variable	n	min	max	median	iqr	mean	sd	se	ci
GTEX-ZGAY	median	19	0.056	0.318	0.144	0.116	0.157	0.082	0.019	0.039
GTEX-ZLV1	median	17	0.059	0.369	0.1	0.097	0.135	0.079	0.019	0.04
GTEX-ZLWG	median	24	0.071	0.333	0.114	0.088	0.141	0.074	0.015	0.031
GTEX-ZP4G	median	23	0.053	0.413	0.096	0.072	0.129	0.087	0.018	0.037
GTEX-ZPCL	median	20	0.085	0.39	0.248	0.162	0.251	0.097	0.022	0.045
GTEX-ZTPG	median	20	0.068	0.267	0.103	0.021	0.121	0.048	0.011	0.023
GTEX-ZV68	median	11	0.127	0.49	0.189	0.159	0.241	0.12	0.036	0.081
GTEX-ZV6S	median	14	0.052	0.212	0.072	0.04	0.09	0.044	0.012	0.025
GTEX-ZVT2	median	24	0.097	0.436	0.272	0.18	0.265	0.099	0.02	0.042
GTEX-ZVT3	median	23	0.054	0.311	0.1	0.074	0.121	0.068	0.014	0.029
GTEX-ZVT4	median	9	0.045	0.278	0.167	0.144	0.153	0.089	0.03	0.069
GTEX-ZVZQ	median	18	0.056	0.357	0.125	0.082	0.136	0.074	0.017	0.037
GTEX-ZXES	median	15	0.083	0.461	0.209	0.136	0.225	0.108	0.028	0.06
GTEX-ZYFG	median	22	0.095	0.476	0.276	0.127	0.268	0.096	0.02	0.042
GTEX-ZYVF	median	18	0.115	0.5	0.438	0.07	0.415	0.092	0.022	0.046
GTEX-ZYWO	median	22	0.049	0.271	0.097	0.043	0.112	0.06	0.013	0.026
GTEX-ZYY3	median	18	0.113	0.475	0.318	0.083	0.31	0.084	0.02	0.042
GTEX-ZZPU	median	20	0.436	0.5	0.482	0.031	0.481	0.018	0.004	0.009
