sample	variable	value	XCI pattern
302733	mean	57	mosaic
302733	TRiXi1	57.7	mosaic
302733	TRiXi3	56.4	mosaic
302734	mean	68.4	mosaic
302734	TRiXi1	71.1	mosaic
302734	TRiXi3	65.7	mosaic
302739	mean	77	skewed
302739	TRiXi1	76.4	skewed
302739	TRiXi3	77.5	skewed
302740	mean	57.2	mosaic
302740	TRiXi3	57.2	mosaic
302753	mean	55.2	mosaic
302753	TRiXi1	55.2	mosaic
302753	TRiXi3	55.3	mosaic
302754	mean	51.8	mosaic
302754	TRiXi1	50.8	mosaic
302754	TRiXi3	52.7	mosaic
302757	mean	77.6	skewed
302757	TRiXi1	77.6	skewed
302766	mean	54	mosaic
302766	TRiXi1	52.8	mosaic
302766	TRiXi3	55.2	mosaic
302767	mean	53.6	mosaic
302767	TRiXi1	52.7	mosaic
302767	TRiXi3	54.5	mosaic
302806	mean	50.6	mosaic
302806	TRiXi1	50.1	mosaic
302806	TRiXi3	51.1	mosaic
302815	mean	63.2	mosaic
302815	TRiXi1	64.1	mosaic
302815	TRiXi3	62.3	mosaic
302825	mean	84.7	extremely skewed
302825	TRiXi1	84.7	extremely skewed
302828	mean	58.6	mosaic
302828	TRiXi1	63.5	mosaic
302828	TRiXi3	53.7	mosaic
302830	mean	52.1	mosaic
302830	TRiXi1	51.3	mosaic
302830	TRiXi3	52.9	mosaic
302838	mean	59	mosaic
302838	TRiXi1	56.3	mosaic
302838	TRiXi3	61.7	mosaic
302843	mean	59.5	mosaic
302843	TRiXi1	59.5	mosaic
302851	mean	56.2	mosaic
302851	TRiXi3	56.2	mosaic
302852	mean	50.7	mosaic
302852	TRiXi1	51.2	mosaic
302852	TRiXi3	50.1	mosaic
302856	mean	63.8	mosaic
302856	TRiXi1	63.8	mosaic
302858	mean	53.3	mosaic
302858	TRiXi1	54.8	mosaic
302858	TRiXi3	51.8	mosaic
302860	mean	58.7	mosaic
302860	TRiXi1	61	mosaic
302860	TRiXi3	56.4	mosaic
302862	mean	54.2	mosaic
302862	TRiXi1	54.2	mosaic
302862	TRiXi3	54.3	mosaic
302863	mean	56.1	mosaic
302863	TRiXi1	61.3	mosaic
302863	TRiXi3	50.9	mosaic
302864	mean	53.3	mosaic
302864	TRiXi3	53.3	mosaic
302868	mean	53.6	mosaic
302868	TRiXi1	50.9	mosaic
302868	TRiXi3	56.3	mosaic
302871	mean	53.7	mosaic
302871	TRiXi3	53.7	mosaic
302873	mean	60	mosaic
302873	TRiXi1	59.5	mosaic
302873	TRiXi3	60.5	mosaic
302878	mean	52.2	mosaic
302878	TRiXi3	52.2	mosaic
302880	mean	77.3	skewed
302880	TRiXi3	77.3	skewed
302885	mean	61.2	mosaic
302885	TRiXi1	60.6	mosaic
302885	TRiXi3	61.9	mosaic
302889	mean	54.9	mosaic
302889	TRiXi1	53.1	mosaic
302889	TRiXi3	56.7	mosaic
302903	mean	56	mosaic
302903	TRiXi1	60.8	mosaic
302903	TRiXi3	51.3	mosaic
302939	mean	55.7	mosaic
302939	TRiXi1	55.7	mosaic
302966	mean	51.9	mosaic
302966	TRiXi1	52.2	mosaic
302966	TRiXi3	51.5	mosaic
302977	mean	65.3	mosaic
302977	TRiXi1	60	mosaic
302977	TRiXi3	70.6	mosaic
302980	mean	74.8	skewed
302980	TRiXi1	74	skewed
302980	TRiXi3	75.7	skewed
302986	mean	56.8	mosaic
302986	TRiXi3	56.8	mosaic
303005	mean	58.1	mosaic
303005	TRiXi1	54.2	mosaic
303005	TRiXi3	62	mosaic
303008	mean	53.2	mosaic
303008	TRiXi1	53.4	mosaic
303008	TRiXi3	53	mosaic
303013	mean	65.8	mosaic
303013	TRiXi1	62.3	mosaic
303013	TRiXi3	69.3	mosaic
303023	mean	66.6	mosaic
303023	TRiXi1	75.5	mosaic
303023	TRiXi3	57.7	mosaic
303031	mean	70.6	mosaic
303031	TRiXi1	67.7	mosaic
303031	TRiXi3	73.5	mosaic
303037	mean	53.5	mosaic
303037	TRiXi1	53	mosaic
303037	TRiXi3	54.1	mosaic
303044	mean	57.1	mosaic
303044	TRiXi1	61.5	mosaic
303044	TRiXi3	52.7	mosaic
303047	mean	62.4	mosaic
303047	TRiXi1	60	mosaic
303047	TRiXi3	64.7	mosaic
303197	mean	75.5	skewed
303197	TRiXi1	73.1	skewed
303197	TRiXi3	77.9	skewed
303201	mean	54.5	mosaic
303201	TRiXi1	53.5	mosaic
303201	TRiXi3	55.6	mosaic
303202	mean	51.8	mosaic
303202	TRiXi1	52.8	mosaic
303202	TRiXi3	50.8	mosaic
303208	mean	64	mosaic
303208	TRiXi1	66.8	mosaic
303208	TRiXi3	61.1	mosaic
303214	mean	73.3	skewed
303214	TRiXi1	76.4	skewed
303214	TRiXi3	70.3	skewed
303220	mean	60.3	mosaic
303220	TRiXi1	60.3	mosaic
303224	mean	60.4	mosaic
303224	TRiXi1	54.8	mosaic
303224	TRiXi3	66	mosaic
303227	mean	67.2	mosaic
303227	TRiXi1	67.4	mosaic
303227	TRiXi3	66.9	mosaic
303234	mean	59.1	mosaic
303234	TRiXi1	59.1	mosaic
303235	mean	73.2	skewed
303235	TRiXi1	73.2	skewed
303271	mean	64.6	mosaic
303271	TRiXi1	60.3	mosaic
303271	TRiXi3	68.8	mosaic
303282	mean	57.6	mosaic
303282	TRiXi1	62.5	mosaic
303282	TRiXi3	52.7	mosaic
303286	mean	53.9	mosaic
303286	TRiXi1	53.9	mosaic
303294	mean	61.7	mosaic
303294	TRiXi1	59	mosaic
303294	TRiXi3	64.4	mosaic
303299	mean	54	mosaic
303299	TRiXi1	53.7	mosaic
303299	TRiXi3	54.2	mosaic
303307	mean	54.5	mosaic
303307	TRiXi1	52.8	mosaic
303307	TRiXi3	56.3	mosaic
303402	mean	63.7	mosaic
303402	TRiXi1	65.4	mosaic
303402	TRiXi3	62	mosaic
303411	mean	67.9	mosaic
303411	TRiXi1	67	mosaic
303411	TRiXi3	68.8	mosaic
303419	mean	93.3	extremely skewed
303419	TRiXi1	95.1	extremely skewed
303419	TRiXi3	91.5	extremely skewed
303420	mean	75.3	skewed
303420	TRiXi1	73.8	skewed
303420	TRiXi3	76.9	skewed
303422	mean	77.6	skewed
303422	TRiXi1	70.8	skewed
303422	TRiXi3	84.4	skewed
303423	mean	64	mosaic
303423	TRiXi3	64	mosaic
303428	mean	59.9	mosaic
303428	TRiXi1	59.9	mosaic
303432	mean	56.1	mosaic
303432	TRiXi1	61.1	mosaic
303432	TRiXi3	51.1	mosaic
303435	mean	56.1	mosaic
303435	TRiXi1	55.8	mosaic
303435	TRiXi3	56.4	mosaic
303438	mean	57.5	mosaic
303438	TRiXi1	63.3	mosaic
303438	TRiXi3	51.6	mosaic
303439	mean	58.4	mosaic
303439	TRiXi1	58.7	mosaic
303439	TRiXi3	58	mosaic
303440	mean	74	skewed
303440	TRiXi1	81.1	skewed
303440	TRiXi3	66.9	skewed
303455	mean	58.9	mosaic
303455	TRiXi3	58.9	mosaic
303457	mean	57.9	mosaic
303457	TRiXi1	57.9	mosaic
303459	mean	50.8	mosaic
303459	TRiXi1	50.8	mosaic
303466	mean	68.6	mosaic
303466	TRiXi1	69.3	mosaic
303466	TRiXi3	67.8	mosaic
303467	mean	66.8	mosaic
303467	TRiXi1	68.4	mosaic
303467	TRiXi3	65.2	mosaic
303476	mean	55	mosaic
303476	TRiXi1	50.9	mosaic
303476	TRiXi3	59.1	mosaic
303479	mean	64.2	mosaic
303479	TRiXi1	65.5	mosaic
303479	TRiXi3	62.9	mosaic
303486	mean	65.8	mosaic
303486	TRiXi1	61.4	mosaic
303486	TRiXi3	70.1	mosaic
303497	mean	52.5	mosaic
303497	TRiXi1	52.2	mosaic
303497	TRiXi3	52.7	mosaic
303499	mean	57.4	mosaic
303499	TRiXi1	57.4	mosaic
303500	mean	63.7	mosaic
303500	TRiXi1	63.7	mosaic
303502	mean	65.8	mosaic
303502	TRiXi1	64	mosaic
303502	TRiXi3	67.7	mosaic
303503	mean	56.8	mosaic
303503	TRiXi1	55.9	mosaic
303503	TRiXi3	57.8	mosaic
303504	mean	53.1	mosaic
303504	TRiXi1	53.5	mosaic
303504	TRiXi3	52.8	mosaic
303505	mean	59.7	mosaic
303505	TRiXi1	63.2	mosaic
303505	TRiXi3	56.1	mosaic
303510	mean	53.7	mosaic
303510	TRiXi1	54.4	mosaic
303510	TRiXi3	53	mosaic
303517	mean	59	mosaic
303517	TRiXi1	62.2	mosaic
303517	TRiXi3	55.7	mosaic
303518	mean	55.2	mosaic
303518	TRiXi1	51	mosaic
303518	TRiXi3	59.5	mosaic
303523	mean	61.9	mosaic
303523	TRiXi1	51.6	mosaic
303523	TRiXi3	72.2	mosaic
303544	mean	54.2	mosaic
303544	TRiXi1	54.2	mosaic
303616	mean	55	mosaic
303616	TRiXi1	59.9	mosaic
303616	TRiXi3	50.2	mosaic
303620	mean	52.4	mosaic
303620	TRiXi1	51.7	mosaic
303620	TRiXi3	53.1	mosaic
303628	mean	50.9	mosaic
303628	TRiXi1	50.9	mosaic
303630	mean	63.9	mosaic
303630	TRiXi1	60.3	mosaic
303630	TRiXi3	67.6	mosaic
303632	mean	53.4	mosaic
303632	TRiXi1	53.6	mosaic
303632	TRiXi3	53.2	mosaic
303636	mean	71.9	skewed
303636	TRiXi1	71.9	skewed
303637	mean	53.4	mosaic
303637	TRiXi1	54	mosaic
303637	TRiXi3	52.7	mosaic
303638	mean	53	mosaic
303638	TRiXi1	54.5	mosaic
303638	TRiXi3	51.6	mosaic
303640	mean	85.7	extremely skewed
303640	TRiXi1	85.7	extremely skewed
303646	mean	56.3	mosaic
303646	TRiXi1	61.7	mosaic
303646	TRiXi3	50.9	mosaic
303648	mean	67.9	mosaic
303648	TRiXi3	67.9	mosaic
303653	mean	67.3	mosaic
303653	TRiXi1	67.3	mosaic
303655	mean	76.7	skewed
303655	TRiXi3	76.7	skewed
303657	mean	65.4	mosaic
303657	TRiXi1	60.4	mosaic
303657	TRiXi3	70.5	mosaic
303660	mean	53.9	mosaic
303660	TRiXi3	53.9	mosaic
303663	mean	69.3	mosaic
303663	TRiXi1	73.9	mosaic
303663	TRiXi3	64.7	mosaic
303664	mean	66.2	mosaic
303664	TRiXi1	66.2	mosaic
303666	mean	69.4	mosaic
303666	TRiXi1	66	mosaic
303666	TRiXi3	72.8	mosaic
303670	mean	82.5	extremely skewed
303670	TRiXi1	82.5	extremely skewed
303671	mean	62	mosaic
303671	TRiXi1	62	mosaic
303672	mean	75.3	skewed
303672	TRiXi1	77.8	skewed
303672	TRiXi3	72.8	skewed
303673	mean	53.3	mosaic
303673	TRiXi3	53.3	mosaic
303675	mean	71.3	skewed
303675	TRiXi1	69.3	skewed
303675	TRiXi3	73.4	skewed
303681	mean	62	mosaic
303681	TRiXi1	61.7	mosaic
303681	TRiXi3	62.3	mosaic
303682	mean	51.9	mosaic
303682	TRiXi1	51.9	mosaic
303683	mean	63.1	mosaic
303683	TRiXi1	63.1	mosaic
303684	mean	87.5	extremely skewed
303684	TRiXi1	88.2	extremely skewed
303684	TRiXi3	86.8	extremely skewed
303686	mean	82.5	extremely skewed
303686	TRiXi3	82.5	extremely skewed
303688	mean	72.4	skewed
303688	TRiXi1	72.8	skewed
303688	TRiXi3	72	skewed
303690	mean	59.3	mosaic
303690	TRiXi1	67.8	mosaic
303690	TRiXi3	50.9	mosaic
303695	mean	70.7	mosaic
303695	TRiXi1	77.6	mosaic
303695	TRiXi3	63.7	mosaic
303699	mean	57.2	mosaic
303699	TRiXi1	64.2	mosaic
303699	TRiXi3	50.3	mosaic
303703	mean	83.1	extremely skewed
303703	TRiXi1	81.9	extremely skewed
303703	TRiXi3	84.3	extremely skewed
303704	mean	50.3	mosaic
303704	TRiXi1	50.3	mosaic
303712	mean	62.4	mosaic
303712	TRiXi3	62.4	mosaic
303713	mean	80.5	extremely skewed
303713	TRiXi1	80.5	extremely skewed
303714	mean	65.3	mosaic
303714	TRiXi1	56	mosaic
303714	TRiXi3	74.7	mosaic
303717	mean	51.3	mosaic
303717	TRiXi3	51.3	mosaic
303718	mean	64.7	mosaic
303718	TRiXi1	64.5	mosaic
303718	TRiXi3	64.9	mosaic
303730	mean	58	mosaic
303730	TRiXi1	58.4	mosaic
303730	TRiXi3	57.5	mosaic
303737	mean	64.2	mosaic
303737	TRiXi1	64.2	mosaic
303740	mean	56.9	mosaic
303740	TRiXi1	59.9	mosaic
303740	TRiXi3	53.9	mosaic
303745	mean	56.1	mosaic
303745	TRiXi1	55.5	mosaic
303745	TRiXi3	56.8	mosaic
303756	mean	54.6	mosaic
303756	TRiXi1	54.6	mosaic
303757	mean	64.6	mosaic
303757	TRiXi1	64.6	mosaic
303762	mean	72.5	skewed
303762	TRiXi1	72.7	skewed
303762	TRiXi3	72.3	skewed
303767	mean	62.9	mosaic
303767	TRiXi3	62.9	mosaic
303768	mean	58.5	mosaic
303768	TRiXi3	58.5	mosaic
303772	mean	65	mosaic
303772	TRiXi1	64.5	mosaic
303772	TRiXi3	65.4	mosaic
303773	mean	51.5	mosaic
303773	TRiXi1	51.3	mosaic
303773	TRiXi3	51.7	mosaic
303778	mean	54.7	mosaic
303778	TRiXi1	54.7	mosaic
303786	mean	71.2	skewed
303786	TRiXi3	71.2	skewed
303787	mean	72.2	skewed
303787	TRiXi1	71.1	skewed
303787	TRiXi3	73.3	skewed
303795	mean	67	mosaic
303795	TRiXi3	67	mosaic
303799	mean	56.9	mosaic
303799	TRiXi1	59.6	mosaic
303799	TRiXi3	54.2	mosaic
303800	mean	73.1	skewed
303800	TRiXi3	73.1	skewed
305105	mean	58.3	mosaic
305105	TRiXi1	55.1	mosaic
305105	TRiXi3	61.5	mosaic
305127	mean	62.5	mosaic
305127	TRiXi1	57	mosaic
305127	TRiXi3	67.9	mosaic
305130	mean	59.8	mosaic
305130	TRiXi1	56	mosaic
305130	TRiXi3	63.5	mosaic
305131	mean	59	mosaic
305131	TRiXi1	52.6	mosaic
305131	TRiXi3	65.5	mosaic
305151	mean	61.5	mosaic
305151	TRiXi1	66.2	mosaic
305151	TRiXi3	56.9	mosaic
305163	mean	69.9	mosaic
305163	TRiXi1	63.7	mosaic
305163	TRiXi3	76.1	mosaic
305165	mean	75	skewed
305165	TRiXi1	75.1	skewed
305165	TRiXi3	74.9	skewed
305177	mean	66.4	mosaic
305177	TRiXi3	66.4	mosaic
305354	mean	66.7	mosaic
305354	TRiXi1	66.7	mosaic
305369	mean	58.4	mosaic
305369	TRiXi1	57	mosaic
305369	TRiXi3	59.7	mosaic
305379	mean	59	mosaic
305379	TRiXi3	59	mosaic
305382	mean	58.1	mosaic
305382	TRiXi1	58.1	mosaic
305391	mean	53.8	mosaic
305391	TRiXi1	56.8	mosaic
305391	TRiXi3	50.8	mosaic
307816	mean	67	mosaic
307816	TRiXi3	67	mosaic
307821	mean	53.5	mosaic
307821	TRiXi3	53.5	mosaic
307822	mean	57.7	mosaic
307822	TRiXi1	60.6	mosaic
307822	TRiXi3	54.7	mosaic
307827	mean	77.7	skewed
307827	TRiXi1	85.2	skewed
307827	TRiXi3	70.1	skewed
307832	mean	52.4	mosaic
307832	TRiXi1	52.9	mosaic
307832	TRiXi3	51.9	mosaic
307835	mean	58.6	mosaic
307835	TRiXi3	58.6	mosaic
307837	mean	55.3	mosaic
307837	TRiXi1	52.3	mosaic
307837	TRiXi3	58.3	mosaic
307838	mean	66.3	mosaic
307838	TRiXi1	69.6	mosaic
307838	TRiXi3	63.1	mosaic
307839	mean	84.4	extremely skewed
307839	TRiXi1	90.6	extremely skewed
307839	TRiXi3	78.3	extremely skewed
307899	mean	51.8	mosaic
307899	TRiXi1	51.8	mosaic
307902	mean	71.2	skewed
307902	TRiXi1	78.1	skewed
307902	TRiXi3	64.3	skewed
307903	mean	53.9	mosaic
307903	TRiXi1	57.7	mosaic
307903	TRiXi3	50.1	mosaic
307915	mean	61.7	mosaic
307915	TRiXi1	60.9	mosaic
307915	TRiXi3	62.5	mosaic
307917	mean	71.5	skewed
307917	TRiXi1	69	skewed
307917	TRiXi3	74	skewed
307919	mean	67.5	mosaic
307919	TRiXi1	67.5	mosaic
307921	mean	64.6	mosaic
307921	TRiXi1	58	mosaic
307921	TRiXi3	71.1	mosaic
307924	mean	64.7	mosaic
307924	TRiXi3	64.7	mosaic
307927	mean	85.5	extremely skewed
307927	TRiXi1	85.5	extremely skewed
307929	mean	50.2	mosaic
307929	TRiXi3	50.2	mosaic
307933	mean	54.8	mosaic
307933	TRiXi1	50.2	mosaic
307933	TRiXi3	59.3	mosaic
307937	mean	55.4	mosaic
307937	TRiXi1	52.3	mosaic
307937	TRiXi3	58.5	mosaic
307938	mean	54	mosaic
307938	TRiXi1	57.3	mosaic
307938	TRiXi3	50.7	mosaic
307940	mean	71.2	skewed
307940	TRiXi1	73.4	skewed
307940	TRiXi3	68.9	skewed
307942	mean	53.6	mosaic
307942	TRiXi1	55.6	mosaic
307942	TRiXi3	51.6	mosaic
307959	mean	60.7	mosaic
307959	TRiXi1	60.7	mosaic
307973	mean	59.8	mosaic
307973	TRiXi1	58.3	mosaic
307973	TRiXi3	61.4	mosaic
307974	mean	62.2	mosaic
307974	TRiXi1	62.2	mosaic
307976	mean	55.6	mosaic
307976	TRiXi3	55.6	mosaic
307999	mean	59.4	mosaic
307999	TRiXi1	60.6	mosaic
307999	TRiXi3	58.2	mosaic
309242	mean	76.8	skewed
309242	TRiXi1	80.9	skewed
309242	TRiXi2	74	skewed
309242	TRiXi4	78.4	skewed
309242	TRiXi5	73.8	skewed
313013	mean	53.7	mosaic
313013	TRiXi1	55.8	mosaic
313013	TRiXi3	54.2	mosaic
313013	TRiXi4	52	mosaic
313013	TRiXi5	52.7	mosaic
313605	mean	61.1	mosaic
313605	TRiXi1	58	mosaic
313605	TRiXi2	59.5	mosaic
313605	TRiXi3	62.2	mosaic
313605	TRiXi4	64.4	mosaic
313605	TRiXi5	61.2	mosaic
313609	mean	62.4	mosaic
313609	TRiXi1	63.9	mosaic
313609	TRiXi2	66.9	mosaic
313609	TRiXi3	65.6	mosaic
313609	TRiXi4	53.3	mosaic
313633	mean	72.3	skewed
313633	TRiXi3	72.3	skewed
313639	mean	64.2	mosaic
313639	TRiXi1	62.8	mosaic
313639	TRiXi3	65.5	mosaic
313642	mean	58.4	mosaic
313642	TRiXi1	58.4	mosaic
313644	mean	56.6	mosaic
313644	TRiXi1	60.2	mosaic
313644	TRiXi2	53.6	mosaic
313644	TRiXi3	60.3	mosaic
313644	TRiXi4	52.2	mosaic
313668	mean	82.2	extremely skewed
313668	TRiXi1	80.4	extremely skewed
313668	TRiXi2	85.4	extremely skewed
313668	TRiXi3	79.2	extremely skewed
313668	TRiXi5	83.6	extremely skewed
313673	mean	54.7	mosaic
313673	TRiXi1	51.4	mosaic
313673	TRiXi3	56	mosaic
313673	TRiXi4	56.6	mosaic
313690	mean	67.1	mosaic
313690	TRiXi1	61.1	mosaic
313690	TRiXi2	68	mosaic
313690	TRiXi3	71.2	mosaic
313690	TRiXi4	66.7	mosaic
313690	TRiXi5	68.3	mosaic
313694	mean	60.1	mosaic
313694	TRiXi1	65.5	mosaic
313694	TRiXi3	54.7	mosaic
313696	mean	52.2	mosaic
313696	TRiXi2	54.5	mosaic
313696	TRiXi5	51.7	mosaic
313697	mean	67.1	mosaic
313697	TRiXi1	72.3	mosaic
313697	TRiXi2	61.2	mosaic
313697	TRiXi3	67	mosaic
313697	TRiXi5	67.9	mosaic
314100	mean	57.1	mosaic
314100	TRiXi1	57.2	mosaic
314100	TRiXi2	69.2	mosaic
314100	TRiXi3	51	mosaic
314100	TRiXi4	56.4	mosaic
314100	TRiXi5	51.6	mosaic
314311	mean	65	mosaic
314311	TRiXi1	70.3	mosaic
314311	TRiXi5	59.6	mosaic
315015	mean	55.8	mosaic
315015	TRiXi1	56.2	mosaic
315015	TRiXi2	51.8	mosaic
315015	TRiXi3	54.1	mosaic
315015	TRiXi5	60.9	mosaic
315049	mean	84.2	extremely skewed
315049	TRiXi1	94.9	extremely skewed
315049	TRiXi2	81	extremely skewed
315049	TRiXi3	73	extremely skewed
315049	TRiXi5	88.1	extremely skewed
315058	mean	66.7	mosaic
315058	TRiXi1	63.1	mosaic
315058	TRiXi2	82	mosaic
315058	TRiXi3	69.9	mosaic
315058	TRiXi5	51.9	mosaic
315077	mean	60.9	mosaic
315077	TRiXi3	60.9	mosaic
315092	mean	62.9	mosaic
315092	TRiXi3	63.2	mosaic
315092	TRiXi4	64.8	mosaic
315092	TRiXi5	60.6	mosaic
315129	mean	64.1	mosaic
315129	TRiXi1	68	mosaic
315129	TRiXi2	69.6	mosaic
315129	TRiXi3	54.3	mosaic
315163	mean	54.5	mosaic
315163	TRiXi4	53.7	mosaic
315163	TRiXi5	55.2	mosaic
315186	mean	68	mosaic
315186	TRiXi1	65.5	mosaic
315186	TRiXi3	70.5	mosaic
315188	mean	69.9	mosaic
315188	TRiXi1	78.7	mosaic
315188	TRiXi2	51.3	mosaic
315188	TRiXi3	73.2	mosaic
315188	TRiXi4	64.4	mosaic
315188	TRiXi5	82	mosaic
315199	mean	67.5	mosaic
315199	TRiXi1	71.5	mosaic
315199	TRiXi2	69.7	mosaic
315199	TRiXi3	61.3	mosaic
315199	TRiXi5	67.6	mosaic
315202	mean	63.2	mosaic
315202	TRiXi1	58.9	mosaic
315202	TRiXi2	71.9	mosaic
315202	TRiXi3	60.8	mosaic
315202	TRiXi4	59.3	mosaic
315202	TRiXi5	65	mosaic
315215	mean	68.8	mosaic
315215	TRiXi2	74.1	mosaic
315215	TRiXi3	56.5	mosaic
315215	TRiXi4	74.1	mosaic
315215	TRiXi5	70.4	mosaic
315222	mean	55.2	mosaic
315222	TRiXi1	52.1	mosaic
315222	TRiXi3	58.4	mosaic
315228	mean	52.8	mosaic
315228	TRiXi3	51.7	mosaic
315228	TRiXi4	53.9	mosaic
315269	mean	52.5	mosaic
315269	TRiXi1	53.8	mosaic
315269	TRiXi3	51.2	mosaic
315313	mean	57.8	mosaic
315313	TRiXi3	63.7	mosaic
315313	TRiXi4	50.6	mosaic
315313	TRiXi5	59	mosaic
315324	mean	53.7	mosaic
315324	TRiXi1	50.2	mosaic
315324	TRiXi2	57	mosaic
315324	TRiXi3	51	mosaic
315324	TRiXi4	56.5	mosaic
315326	mean	58.8	mosaic
315326	TRiXi1	66.5	mosaic
315326	TRiXi2	51.3	mosaic
315326	TRiXi5	58.6	mosaic
315339	mean	58	mosaic
315339	TRiXi1	59.7	mosaic
315339	TRiXi3	56.4	mosaic
315385	mean	55	mosaic
315385	TRiXi1	55.9	mosaic
315385	TRiXi3	54.8	mosaic
315385	TRiXi5	54.4	mosaic
315386	mean	54.2	mosaic
315386	TRiXi1	59.2	mosaic
315386	TRiXi2	55.9	mosaic
315386	TRiXi3	50.4	mosaic
315386	TRiXi5	51.2	mosaic
315400	mean	75.9	skewed
315400	TRiXi1	83.3	skewed
315400	TRiXi2	74.4	skewed
315400	TRiXi3	73.9	skewed
315400	TRiXi4	76.6	skewed
315400	TRiXi5	71.5	skewed
315867	mean	63.8	mosaic
315867	TRiXi1	57.5	mosaic
315867	TRiXi3	70.1	mosaic
315906	mean	59.1	mosaic
315906	TRiXi1	53.6	mosaic
315906	TRiXi2	66.1	mosaic
315906	TRiXi5	57.5	mosaic
315911	mean	59.6	mosaic
315911	TRiXi1	52.8	mosaic
315911	TRiXi2	62	mosaic
315911	TRiXi3	57.2	mosaic
315911	TRiXi4	59.3	mosaic
315911	TRiXi5	66.7	mosaic
315918	mean	67.2	mosaic
315918	TRiXi1	66.9	mosaic
315918	TRiXi3	67.6	mosaic
315922	mean	64	mosaic
315922	TRiXi1	66.3	mosaic
315922	TRiXi2	66.2	mosaic
315922	TRiXi5	59.4	mosaic
315945	mean	65.5	mosaic
315945	TRiXi1	69.7	mosaic
315945	TRiXi3	61.3	mosaic
315952	mean	69.8	mosaic
315952	TRiXi1	66	mosaic
315952	TRiXi2	73.4	mosaic
315952	TRiXi3	69.2	mosaic
315952	TRiXi5	70.4	mosaic
315973	mean	68	mosaic
315973	TRiXi1	61.8	mosaic
315973	TRiXi2	63.7	mosaic
315973	TRiXi4	72.9	mosaic
315973	TRiXi5	73.7	mosaic
315988	mean	81.2	extremely skewed
315988	TRiXi1	88.7	extremely skewed
315988	TRiXi3	73.8	extremely skewed
316010	mean	57.2	mosaic
316010	TRiXi1	55	mosaic
316010	TRiXi3	59.4	mosaic
316274	mean	75.4	skewed
316274	TRiXi2	78.4	skewed
316274	TRiXi3	77	skewed
316274	TRiXi5	70.9	skewed
316301	mean	61.6	mosaic
316301	TRiXi1	61.6	mosaic
316302	mean	61.3	mosaic
316302	TRiXi2	59.1	mosaic
316302	TRiXi5	63.5	mosaic
316314	mean	50.5	mosaic
316314	TRiXi1	50.9	mosaic
316314	TRiXi3	50.1	mosaic
316315	mean	57.6	mosaic
316315	TRiXi3	57.6	mosaic
316324	mean	59.4	mosaic
316324	TRiXi1	62.1	mosaic
316324	TRiXi2	63.4	mosaic
316324	TRiXi3	59.8	mosaic
316324	TRiXi5	52.4	mosaic
316327	mean	58.1	mosaic
316327	TRiXi1	56.6	mosaic
316327	TRiXi2	55.6	mosaic
316327	TRiXi3	57.2	mosaic
316327	TRiXi5	62.9	mosaic
316340	mean	85	extremely skewed
316340	TRiXi1	86.2	extremely skewed
316340	TRiXi2	80.6	extremely skewed
316340	TRiXi3	88.2	extremely skewed
316345	mean	51.5	mosaic
316345	TRiXi1	53.5	mosaic
316345	TRiXi3	50	mosaic
316345	TRiXi5	51.1	mosaic
316346	mean	62.9	mosaic
316346	TRiXi3	62.9	mosaic
316348	mean	70.7	mosaic
316348	TRiXi1	75.6	mosaic
316348	TRiXi2	69.8	mosaic
316348	TRiXi3	71.2	mosaic
316348	TRiXi4	75.1	mosaic
316348	TRiXi5	62	mosaic
316354	mean	67.6	mosaic
316354	TRiXi1	75.1	mosaic
316354	TRiXi3	60.1	mosaic
316367	mean	61	mosaic
316367	TRiXi1	61	mosaic
316373	mean	64.4	mosaic
316373	TRiXi1	71	mosaic
316373	TRiXi3	70.6	mosaic
316373	TRiXi4	54.9	mosaic
316373	TRiXi5	61	mosaic
316387	mean	76.3	skewed
316387	TRiXi1	74.8	skewed
316387	TRiXi3	77.8	skewed
316389	mean	83.6	extremely skewed
316389	TRiXi1	85.1	extremely skewed
316389	TRiXi2	86.4	extremely skewed
316389	TRiXi3	77.4	extremely skewed
316389	TRiXi4	83.1	extremely skewed
316389	TRiXi5	85.8	extremely skewed
316415	mean	70.5	mosaic
316415	TRiXi1	70.5	mosaic
316468	mean	67	mosaic
316468	TRiXi1	67	mosaic
316472	mean	51.8	mosaic
316472	TRiXi1	51.3	mosaic
316472	TRiXi3	52.3	mosaic
316476	mean	73	skewed
316476	TRiXi1	63.2	skewed
316476	TRiXi3	73.5	skewed
316476	TRiXi5	82.2	skewed
316493	mean	61.4	mosaic
316493	TRiXi1	54.1	mosaic
316493	TRiXi2	65.9	mosaic
316493	TRiXi4	64.2	mosaic
316502	mean	57.8	mosaic
316502	TRiXi1	56.8	mosaic
316502	TRiXi3	58.9	mosaic
316517	mean	55	mosaic
316517	TRiXi1	57.2	mosaic
316517	TRiXi3	52.7	mosaic
316544	mean	61.9	mosaic
316544	TRiXi3	64.4	mosaic
316544	TRiXi5	59.4	mosaic
316558	mean	56.2	mosaic
316558	TRiXi1	50.7	mosaic
316558	TRiXi3	61.6	mosaic
316561	mean	61	mosaic
316561	TRiXi1	65.5	mosaic
316561	TRiXi2	54.1	mosaic
316561	TRiXi3	62	mosaic
316561	TRiXi4	62.4	mosaic
316568	mean	58.8	mosaic
316568	TRiXi1	53.6	mosaic
316568	TRiXi3	63.9	mosaic
