sample	variable	value	XCI pattern
300435	TRiXi3	64.7	mosaic
300444	mean	52.2	mosaic
300444	TRiXi1	53.2	mosaic
300444	TRiXi3	51.2	mosaic
300450	mean	61.9	mosaic
300450	TRiXi1	58.7	mosaic
300450	TRiXi3	65	mosaic
300454	mean	57.2	mosaic
300454	TRiXi3	57.2	mosaic
300455	mean	71	mosaic
300455	TRiXi1	74.5	mosaic
300455	TRiXi3	67.4	mosaic
300457	mean	52.5	mosaic
300457	TRiXi1	52.2	mosaic
300457	TRiXi3	52.7	mosaic
300459	mean	62.6	mosaic
300459	TRiXi3	62.6	mosaic
300463	mean	67.9	mosaic
300463	TRiXi1	67.9	mosaic
300468	mean	51	mosaic
300468	TRiXi1	50.3	mosaic
300468	TRiXi3	51.8	mosaic
300476	mean	55.9	mosaic
300476	TRiXi1	52.3	mosaic
300476	TRiXi3	59.5	mosaic
300480	mean	63.5	mosaic
300480	TRiXi1	61.5	mosaic
300480	TRiXi3	65.5	mosaic
300496	mean	54.4	mosaic
300496	TRiXi1	52.3	mosaic
300496	TRiXi3	56.5	mosaic
300498	mean	61.4	mosaic
300498	TRiXi1	61.4	mosaic
300513	mean	64.4	mosaic
300513	TRiXi1	64.7	mosaic
300513	TRiXi3	64.2	mosaic
300515	mean	85.8	extremely skewed
300515	TRiXi1	85.8	extremely skewed
300516	mean	55	mosaic
300516	TRiXi1	56.1	mosaic
300516	TRiXi3	54	mosaic
300517	mean	55.2	mosaic
300517	TRiXi3	55.2	mosaic
300521	mean	61.8	mosaic
300521	TRiXi1	56.6	mosaic
300521	TRiXi3	67.1	mosaic
300523	mean	58.9	mosaic
300523	TRiXi1	58	mosaic
300523	TRiXi3	59.8	mosaic
300524	mean	54.4	mosaic
300524	TRiXi1	56.1	mosaic
300524	TRiXi3	52.7	mosaic
300528	mean	58.5	mosaic
300528	TRiXi1	57.8	mosaic
300528	TRiXi3	59.1	mosaic
300530	mean	68.3	mosaic
300530	TRiXi1	71.5	mosaic
300530	TRiXi3	65.1	mosaic
300537	mean	52.3	mosaic
300537	TRiXi3	52.3	mosaic
300540	mean	57.8	mosaic
300540	TRiXi3	57.8	mosaic
300541	mean	64.2	mosaic
300541	TRiXi1	62.8	mosaic
300541	TRiXi3	65.5	mosaic
300543	mean	52.4	mosaic
300543	TRiXi3	52.4	mosaic
300547	mean	51.2	mosaic
300547	TRiXi1	51.2	mosaic
300549	mean	70.4	mosaic
300549	TRiXi1	74.9	mosaic
300549	TRiXi3	65.9	mosaic
300551	mean	52.2	mosaic
300551	TRiXi1	54.3	mosaic
300551	TRiXi3	50.1	mosaic
300554	mean	56	mosaic
300554	TRiXi1	55.1	mosaic
300554	TRiXi3	57	mosaic
300555	mean	54.3	mosaic
300555	TRiXi1	51.3	mosaic
300555	TRiXi3	57.4	mosaic
300556	mean	63.9	mosaic
300556	TRiXi1	66.1	mosaic
300556	TRiXi3	61.7	mosaic
300558	mean	57.4	mosaic
300558	TRiXi1	58.6	mosaic
300558	TRiXi3	56.1	mosaic
300559	mean	64	mosaic
300559	TRiXi1	64	mosaic
300562	mean	67	mosaic
300562	TRiXi1	69.9	mosaic
300562	TRiXi3	64.1	mosaic
300566	mean	53.6	mosaic
300566	TRiXi3	53.6	mosaic
300567	mean	54.1	mosaic
300567	TRiXi1	54.1	mosaic
300568	mean	59.7	mosaic
300568	TRiXi1	58.8	mosaic
300568	TRiXi3	60.6	mosaic
300570	mean	60.8	mosaic
300570	TRiXi1	60.8	mosaic
300578	mean	57.5	mosaic
300578	TRiXi1	60.9	mosaic
300578	TRiXi3	54.2	mosaic
300600	mean	64.6	mosaic
300600	TRiXi1	65.4	mosaic
300600	TRiXi3	63.7	mosaic
300609	mean	56.8	mosaic
300609	TRiXi1	56.8	mosaic
300616	mean	54.5	mosaic
300616	TRiXi1	56.6	mosaic
300616	TRiXi3	52.5	mosaic
300617	mean	72.5	skewed
300617	TRiXi3	72.5	skewed
300619	mean	58.1	mosaic
300619	TRiXi1	52.5	mosaic
300619	TRiXi3	63.8	mosaic
300623	mean	59.5	mosaic
300623	TRiXi3	59.5	mosaic
300845	mean	63	mosaic
300845	TRiXi1	67.6	mosaic
300845	TRiXi3	58.5	mosaic
300848	mean	78	skewed
300848	TRiXi1	80.6	skewed
300848	TRiXi3	75.4	skewed
300850	mean	56.6	mosaic
300850	TRiXi1	53	mosaic
300850	TRiXi3	60.3	mosaic
300855	mean	52.2	mosaic
300855	TRiXi1	53.7	mosaic
300855	TRiXi3	50.7	mosaic
300860	mean	54.2	mosaic
300860	TRiXi1	51.1	mosaic
300860	TRiXi3	57.2	mosaic
300862	mean	66	mosaic
300862	TRiXi1	62.4	mosaic
300862	TRiXi3	69.7	mosaic
300868	mean	55.2	mosaic
300868	TRiXi1	55.2	mosaic
300869	mean	62.4	mosaic
300869	TRiXi1	63.4	mosaic
300869	TRiXi3	61.4	mosaic
300878	mean	60.2	mosaic
300878	TRiXi1	61.4	mosaic
300878	TRiXi3	59.1	mosaic
300880	mean	55.6	mosaic
300880	TRiXi1	56.5	mosaic
300880	TRiXi3	54.8	mosaic
300882	mean	60.8	mosaic
300882	TRiXi1	59.7	mosaic
300882	TRiXi3	61.9	mosaic
300884	mean	65	mosaic
300884	TRiXi3	65	mosaic
300891	mean	64.3	mosaic
300891	TRiXi1	64	mosaic
300891	TRiXi3	64.6	mosaic
300896	mean	69.9	mosaic
300896	TRiXi1	69.9	mosaic
300899	mean	55.4	mosaic
300899	TRiXi1	55	mosaic
300899	TRiXi3	55.7	mosaic
300907	mean	62.1	mosaic
300907	TRiXi3	62.1	mosaic
300908	mean	63.6	mosaic
300908	TRiXi1	61.5	mosaic
300908	TRiXi3	65.7	mosaic
300910	mean	62.4	mosaic
300910	TRiXi1	59	mosaic
300910	TRiXi3	65.7	mosaic
300911	mean	54.2	mosaic
300911	TRiXi1	56.5	mosaic
300911	TRiXi3	52	mosaic
300912	mean	54	mosaic
300912	TRiXi1	53.3	mosaic
300912	TRiXi3	54.6	mosaic
300915	mean	55.8	mosaic
300915	TRiXi1	51	mosaic
300915	TRiXi3	60.6	mosaic
300922	mean	55	mosaic
300922	TRiXi1	53.5	mosaic
300922	TRiXi3	56.6	mosaic
300926	mean	66.4	mosaic
300926	TRiXi1	66.4	mosaic
300928	mean	50.5	mosaic
300928	TRiXi1	50.8	mosaic
300928	TRiXi3	50.1	mosaic
300935	mean	64	mosaic
300935	TRiXi1	56.6	mosaic
300935	TRiXi3	71.3	mosaic
300941	mean	57.4	mosaic
300941	TRiXi1	57.4	mosaic
300946	mean	56.3	mosaic
300946	TRiXi1	56.3	mosaic
300955	mean	50.6	mosaic
