sample	variable	n	min	max	median	iqr	mean	sd	se	ci	XCI pattern
303502	value	3	64	67.7	65.8	1.85	65.833	1.85	1.068	4.596	mosaic
303503	value	3	55.9	57.8	56.8	0.95	56.833	0.95	0.549	2.361	mosaic
303504	value	3	52.8	53.5	53.1	0.35	53.133	0.351	0.203	0.872	mosaic
303505	value	3	56.1	63.2	59.7	3.55	59.667	3.55	2.05	8.819	mosaic
303510	value	3	53	54.4	53.7	0.7	53.7	0.7	0.404	1.739	mosaic
303517	value	3	55.7	62.2	59	3.25	58.967	3.25	1.876	8.074	mosaic
303518	value	3	51	59.5	55.2	4.25	55.233	4.25	2.454	10.558	mosaic
303523	value	3	51.6	72.2	61.9	10.3	61.9	10.3	5.947	25.587	mosaic
303544	value	2	54.2	54.2	54.2	0	54.2	0	0	0	mosaic
303616	value	3	50.2	59.9	55	4.85	55.033	4.85	2.8	12.048	mosaic
303620	value	3	51.7	53.1	52.4	0.7	52.4	0.7	0.404	1.739	mosaic
303628	value	2	50.9	50.9	50.9	0	50.9	0	0	0	mosaic
303630	value	3	60.3	67.6	63.9	3.65	63.933	3.65	2.107	9.067	mosaic
303632	value	3	53.2	53.6	53.4	0.2	53.4	0.2	0.115	0.497	mosaic
303636	value	2	71.9	71.9	71.9	0	71.9	0	0	0	skewed
303637	value	3	52.7	54	53.4	0.65	53.367	0.651	0.376	1.616	mosaic
303638	value	3	51.6	54.5	53	1.45	53.033	1.45	0.837	3.603	mosaic
303640	value	2	85.7	85.7	85.7	0	85.7	0	0	0	extremely skewed
303646	value	3	50.9	61.7	56.3	5.4	56.3	5.4	3.118	13.414	mosaic
303648	value	2	67.9	67.9	67.9	0	67.9	0	0	0	mosaic
303653	value	2	67.3	67.3	67.3	0	67.3	0	0	0	mosaic
303655	value	2	76.7	76.7	76.7	0	76.7	0	0	0	skewed
303657	value	3	60.4	70.5	65.4	5.05	65.433	5.05	2.916	12.545	mosaic
303660	value	2	53.9	53.9	53.9	0	53.9	0	0	0	mosaic
303663	value	3	64.7	73.9	69.3	4.6	69.3	4.6	2.656	11.427	mosaic
303664	value	2	66.2	66.2	66.2	0	66.2	0	0	0	mosaic
303666	value	3	66	72.8	69.4	3.4	69.4	3.4	1.963	8.446	mosaic
303670	value	2	82.5	82.5	82.5	0	82.5	0	0	0	extremely skewed
303671	value	2	62	62	62	0	62	0	0	0	mosaic
303672	value	3	72.8	77.8	75.3	2.5	75.3	2.5	1.443	6.21	skewed
303673	value	2	53.3	53.3	53.3	0	53.3	0	0	0	mosaic
303675	value	3	69.3	73.4	71.3	2.05	71.333	2.05	1.184	5.093	skewed
303681	value	3	61.7	62.3	62	0.3	62	0.3	0.173	0.745	mosaic
303682	value	2	51.9	51.9	51.9	0	51.9	0	0	0	mosaic
