sample	variable	n	min	max	median	iqr	mean	sd	se	ci	XCI pattern
316765	value	3	60.9	71.6	66.2	5.35	66.233	5.35	3.089	13.29	mosaic
316769	value	3	60.6	66	63.3	2.7	63.3	2.7	1.559	6.707	mosaic
316785	value	3	61.6	63	62.3	0.7	62.3	0.7	0.404	1.739	mosaic
316795	value	2	68.8	69.5	69.15	0.35	69.15	0.495	0.35	4.447	mosaic
316798	value	5	53	65.5	60.2	4.9	60.24	4.851	2.169	6.023	mosaic
316803	value	4	76.6	87.4	83.6	3.15	82.8	4.511	2.256	7.179	extremely skewed
316809	value	4	51.5	76.3	57.35	11.075	60.625	11.129	5.564	17.708	mosaic
316819	value	2	72.9	72.9	72.9	0	72.9	0	0	0	skewed
316820	value	4	65.5	72.7	69.4	2.25	69.25	2.955	1.477	4.702	mosaic
316849	value	5	51.2	57	53.1	0.5	53.6	2.111	0.944	2.621	mosaic
316856	value	5	50.5	71.1	58.2	5.7	58.18	8	3.578	9.933	mosaic
316861	value	3	54.1	58.5	56.3	2.2	56.3	2.2	1.27	5.465	mosaic
316879	value	3	54.6	61.1	57.9	3.25	57.867	3.25	1.876	8.074	mosaic
316886	value	5	57.6	79.1	67.2	0.7	67.72	7.627	3.411	9.471	mosaic
316903	value	5	54.4	66.6	56.1	3.2	57.98	5.019	2.245	6.232	mosaic
316914	value	3	57	65.7	63.7	4.35	62.133	4.557	2.631	11.319	mosaic
316960	value	3	53.8	55.3	54.5	0.75	54.533	0.751	0.433	1.864	mosaic
316970	value	6	50.5	62.5	53.25	4.475	54.383	4.508	1.841	4.731	mosaic
316972	value	5	54.2	63.3	55.8	2.1	57.08	3.638	1.627	4.518	mosaic
316977	value	5	79.9	86.2	82.4	2.5	82.36	2.497	1.117	3.1	extremely skewed
316984	value	5	50.4	68	58.9	12.8	58.94	7.698	3.443	9.559	mosaic
316987	value	3	52.7	62.6	57.7	4.95	57.667	4.95	2.858	12.297	mosaic
316994	value	5	52.9	60.3	57.9	4.9	57.24	3.195	1.429	3.967	mosaic
316997	value	3	50.7	54.7	54.6	2	53.333	2.281	1.317	5.667	mosaic
316998	value	3	69.3	77.4	69.5	4.05	72.067	4.62	2.667	11.476	skewed
317001	value	4	51.6	71.8	57.3	8.35	59.5	8.814	4.407	14.025	mosaic
317006	value	3	92.1	95.5	93.8	1.7	93.8	1.7	0.981	4.223	extremely skewed
317008	value	4	56.6	76.9	69.3	5.525	68.025	8.421	4.21	13.399	mosaic
317017	value	5	56.6	66.1	63.8	3.4	63.02	3.885	1.737	4.824	mosaic
317023	value	5	53.7	65.9	60.7	7.1	60.44	5.026	2.248	6.24	mosaic
317027	value	5	63.7	80.5	70.8	5.5	71.14	6.314	2.824	7.84	skewed
317031	value	3	70.6	86.3	78.4	7.85	78.433	7.85	4.532	19.501	skewed
317043	value	4	51.2	57.4	54.5	1.7	54.4	2.535	1.268	4.034	mosaic
317048	value	4	55.3	63.2	60.05	4.75	59.65	3.591	1.796	5.714	mosaic
317055	value	4	51.4	73.3	65.4	7.725	63.875	9.194	4.597	14.63	mosaic
317064	value	5	51.9	65.7	54.3	3.3	56.2	5.551	2.482	6.892	mosaic
317065	value	5	63.2	68.2	65.3	3.9	65.4	2.259	1.01	2.805	mosaic
317067	value	3	50.1	54.2	52.4	2.05	52.233	2.055	1.186	5.105	mosaic
317081	value	5	50.7	74.8	56.8	5.1	59.04	9.346	4.18	11.604	mosaic
317112	value	4	50.1	75.5	55.45	11.825	59.125	11.594	5.797	18.448	mosaic
317121	value	5	61.5	70.3	65	4.5	65.02	3.602	1.611	4.473	mosaic
317134	value	4	50.5	62.3	57.55	3.775	56.975	4.884	2.442	7.771	mosaic
317158	value	3	80.9	82	81.4	0.55	81.433	0.551	0.318	1.368	extremely skewed
317159	value	2	62.1	62.1	62.1	0	62.1	0	0	0	mosaic
317168	value	3	74.9	82.5	78.7	3.8	78.7	3.8	2.194	9.44	skewed
317189	value	3	60.3	66.6	63.4	3.15	63.433	3.15	1.819	7.825	mosaic
317204	value	2	54.1	54.1	54.1	0	54.1	0	0	0	mosaic
317205	value	4	52.7	61.5	58.5	3.25	57.8	3.726	1.863	5.93	mosaic
317218	value	3	55.3	64.5	61.6	4.6	60.467	4.704	2.716	11.684	mosaic
317233	value	3	70.5	77.7	74.1	3.6	74.1	3.6	2.078	8.943	skewed
317234	value	3	50.8	53.8	52.3	1.5	52.3	1.5	0.866	3.726	mosaic
317243	value	2	61.5	61.5	61.5	0	61.5	0	0	0	mosaic
317258	value	2	57.1	57.1	57.1	0	57.1	0	0	0	mosaic
317280	value	5	50	56.1	54	1.9	53.96	2.432	1.087	3.019	mosaic
317281	value	6	51.4	54.2	53.45	1.6	53.067	1.134	0.463	1.19	mosaic
317292	value	3	62.5	72.2	67.3	4.85	67.333	4.85	2.8	12.048	mosaic
317296	value	5	51.3	63.2	56.3	5.1	56.3	4.675	2.091	5.805	mosaic
317315	value	4	52	65.5	56.25	5.25	57.5	5.788	2.894	9.21	mosaic
317317	value	5	50.2	84.8	54	8.6	60.12	14.311	6.4	17.77	mosaic
317347	value	3	59.5	74.7	67.1	7.6	67.1	7.6	4.388	18.879	mosaic
317361	value	2	64.1	64.1	64.1	0	64.1	0	0	0	mosaic
317366	value	5	50.3	58.7	55.2	2.7	55.22	3.203	1.432	3.977	mosaic
317380	value	5	50.7	69.9	61.2	1.2	61	6.833	3.056	8.485	mosaic
317386	value	4	54.9	64.4	56.5	4.775	58.075	4.478	2.239	7.126	mosaic
317398	value	4	51.1	55.5	52.35	1.775	52.825	1.914	0.957	3.045	mosaic
317402	value	4	52.6	55.6	54.3	0.9	54.2	1.233	0.616	1.962	mosaic
317409	value	3	50.1	56.4	53.2	3.15	53.233	3.15	1.819	7.825	mosaic
317412	value	6	51.8	60.7	56.1	2.125	55.867	2.983	1.218	3.131	mosaic
317419	value	5	55.9	64.2	56.9	2	58.32	3.411	1.525	4.235	mosaic
317427	value	5	53.6	61.2	58	0.4	57.72	2.707	1.211	3.361	mosaic
317431	value	3	59.3	62.2	60.8	1.45	60.767	1.45	0.837	3.603	mosaic
317438	value	3	54.1	59.2	56.7	2.55	56.667	2.55	1.472	6.335	mosaic
317450	value	5	62.4	74.3	65.7	2	66.8	4.495	2.01	5.581	mosaic
317457	value	3	52.4	55.5	54	1.55	53.967	1.55	0.895	3.851	mosaic
317460	value	5	58.2	78	68	4.1	68.02	7.149	3.197	8.877	mosaic
317464	value	2	57.7	57.7	57.7	0	57.7	0	0	0	mosaic
317490	value	2	50.8	50.8	50.8	0	50.8	0	0	0	mosaic
317491	value	3	51.9	59.8	55.8	3.95	55.833	3.95	2.281	9.813	mosaic
317498	value	5	50.3	72.6	62.8	7.4	62.78	8.412	3.762	10.445	mosaic
317501	value	3	50.4	52.2	51.3	0.9	51.3	0.9	0.52	2.236	mosaic
317513	value	3	69.4	72.5	71	1.55	70.967	1.55	0.895	3.851	mosaic
317526	value	2	50.8	50.8	50.8	0	50.8	0	0	0	mosaic
317543	value	2	60.3	60.3	60.3	0	60.3	0	0	0	mosaic
317551	value	2	52.1	52.1	52.1	0	52.1	0	0	0	mosaic
317568	value	5	56.5	78.6	73.5	4.2	70.92	8.53	3.815	10.591	mosaic
317597	value	3	72.4	77.8	75.1	2.7	75.1	2.7	1.559	6.707	skewed
317607	value	3	55.5	62.4	59	3.45	58.967	3.45	1.992	8.571	mosaic
317624	value	5	54.1	63.7	61	2.5	60.42	3.781	1.691	4.695	mosaic
317631	value	2	85.1	85.1	85.1	0	85.1	0	0	0	extremely skewed
317636	value	3	54.7	55.5	55.1	0.4	55.1	0.4	0.231	0.994	mosaic
317661	value	6	52.7	57.5	56.3	1.7	55.867	1.767	0.721	1.854	mosaic
317669	value	3	50.3	63	56.6	6.35	56.633	6.35	3.666	15.774	mosaic
317671	value	4	67.9	87.3	78.35	7.025	77.975	8.02	4.01	12.761	skewed
317674	value	2	61.3	61.3	61.3	0	61.3	0	0	0	mosaic
317680	value	2	62.5	62.5	62.5	0	62.5	0	0	0	mosaic
317689	value	2	70.9	70.9	70.9	0	70.9	0	0	0	mosaic
317706	value	3	55.1	57.8	56.5	1.35	56.467	1.35	0.78	3.354	mosaic
317710	value	3	63.4	68.8	66.1	2.7	66.1	2.7	1.559	6.707	mosaic
317711	value	5	61.2	66.1	63.3	3.6	63.32	2.174	0.972	2.7	mosaic
317722	value	3	65	72.1	68.6	3.55	68.567	3.55	2.05	8.819	mosaic
317727	value	2	76.6	76.6	76.6	0	76.6	0	0	0	skewed
317734	value	6	64.8	73.6	70.6	2.1	70.333	3.049	1.245	3.2	mosaic
317740	value	6	50.3	63.5	57	8.5	57.167	5.486	2.24	5.757	mosaic
317766	value	6	51	60.4	53.75	0.85	54.467	3.143	1.283	3.298	mosaic
317767	value	3	51.9	65.1	58.5	6.6	58.5	6.6	3.811	16.395	mosaic
317779	value	3	77.5	83.1	80.3	2.8	80.3	2.8	1.617	6.956	extremely skewed
317793	value	5	51.5	77.1	60	6.9	60.54	10.055	4.497	12.485	mosaic
317803	value	5	55.3	58.2	56.4	1.2	56.42	1.156	0.517	1.436	mosaic
317824	value	3	61.2	74.2	67.7	6.5	67.7	6.5	3.753	16.147	mosaic
317838	value	4	51.4	76.9	55.85	12.6	60	11.951	5.975	19.016	mosaic
317848	value	3	62.5	67	64.8	2.25	64.767	2.25	1.299	5.59	mosaic
317852	value	2	62.3	62.3	62.3	0	62.3	0	0	0	mosaic
317855	value	5	54.6	59.6	57	0.2	57.04	1.77	0.792	2.198	mosaic
317904	value	6	52.7	64	59.65	5	59.083	4.149	1.694	4.354	mosaic
317910	value	3	54.8	68.1	59	6.65	60.633	6.799	3.925	16.889	mosaic
317913	value	4	51.3	69.1	54.65	8.575	57.425	8.253	4.127	13.133	mosaic
317917	value	6	52.8	71.2	59.6	5.475	60.483	6.329	2.584	6.642	mosaic
317921	value	2	58	58	58	0	58	0	0	0	mosaic
317935	value	6	50.7	69.4	55.95	8.825	58.033	7.13	2.911	7.482	mosaic
317958	value	3	58.1	65.3	61.7	3.6	61.7	3.6	2.078	8.943	mosaic
317959	value	5	52.7	58.1	55	3.2	54.96	2.265	1.013	2.812	mosaic
317974	value	2	53.6	53.6	53.6	0	53.6	0	0	0	mosaic
318005	value	3	50.9	52.7	51.8	0.9	51.8	0.9	0.52	2.236	mosaic
318021	value	4	56.9	77.5	64.75	7.025	65.975	8.589	4.294	13.667	mosaic
318025	value	4	67.8	80.2	75.95	4.525	74.975	5.244	2.622	8.344	skewed
318029	value	3	53.4	54.4	53.9	0.5	53.9	0.5	0.289	1.242	mosaic
318030	value	4	61	72.6	66.8	4.4	66.8	4.806	2.403	7.647	mosaic
318034	value	5	79.3	89.4	83.1	3.6	83.12	3.984	1.782	4.947	extremely skewed
318035	value	6	58.8	65.6	60.5	0.95	61.1	2.349	0.959	2.465	mosaic
318050	value	6	54.1	79.5	65.4	12.55	65.633	9.644	3.937	10.121	mosaic
318058	value	3	59.2	61.1	60.2	0.95	60.167	0.95	0.549	2.361	mosaic
318075	value	6	53.9	63.8	57.3	4.55	57.717	3.744	1.528	3.929	mosaic
318085	value	3	52.2	61.5	56.9	4.65	56.867	4.65	2.685	11.551	mosaic
318088	value	4	56.1	68.7	63.75	4.125	63.075	5.23	2.615	8.322	mosaic
318095	value	4	73.6	83.2	76.75	3.075	77.575	4.05	2.025	6.444	skewed
318113	value	4	54.7	65.8	62.7	4.575	61.475	4.847	2.424	7.713	mosaic
318120	value	3	63	64.9	64	0.95	63.967	0.95	0.549	2.361	mosaic
318126	value	5	57.1	63.9	60.8	4.3	60.82	2.863	1.28	3.555	mosaic
318136	value	6	63.1	80.1	70.6	7.55	70.667	6.289	2.568	6.6	mosaic
318150	value	4	66.6	79.9	70.4	5.425	71.825	5.788	2.894	9.209	skewed
318160	value	3	57.5	58.8	58.1	0.65	58.133	0.651	0.376	1.616	mosaic
318165	value	4	58.6	81.5	76.4	10.525	73.225	10.376	5.188	16.511	skewed
318176	value	5	59.1	65.4	61.4	1	61.66	2.32	1.038	2.881	mosaic
318198	value	3	53.2	53.8	53.5	0.3	53.5	0.3	0.173	0.745	mosaic
318205	value	4	60.5	79.4	71	5.475	70.475	7.75	3.875	12.333	mosaic
318244	value	5	74.1	79.5	77.4	2.8	77.4	2.233	0.998	2.772	skewed
318250	value	4	66.4	76.4	74.2	4.9	72.8	4.581	2.291	7.29	skewed
318252	value	2	57.4	57.4	57.4	0	57.4	0	0	0	mosaic
318257	value	3	51.5	52.6	52	0.55	52.033	0.551	0.318	1.368	mosaic
318271	value	4	57	60.7	58.75	1	58.8	1.512	0.756	2.406	mosaic
318288	value	6	51	72.8	61.6	4.875	61.917	7.184	2.933	7.539	mosaic
318290	value	2	58	60.5	59.25	1.25	59.25	1.768	1.25	15.883	mosaic
318291	value	5	50.6	56.1	54	2.1	54	2.181	0.975	2.708	mosaic
318292	value	5	51.1	55.9	53.9	3.1	53.92	2.064	0.923	2.563	mosaic
318293	value	2	59.3	59.3	59.3	0	59.3	0	0	0	mosaic
318322	value	5	52.6	93.6	62.6	9.7	66.34	16.13	7.214	20.028	mosaic
318326	value	5	57.8	74.2	65.1	10	64.78	6.917	3.093	8.588	mosaic
318328	value	5	62.3	72.4	66.6	3.7	66.56	3.886	1.738	4.825	mosaic
318329	value	4	67.6	75.1	68.9	3.675	70.125	3.512	1.756	5.589	mosaic
318333	value	3	50.1	58.8	54.5	4.35	54.467	4.35	2.512	10.806	mosaic
318344	value	4	61.6	69.8	65.5	2.2	65.6	3.351	1.675	5.332	mosaic
318351	value	3	53.4	63.5	57.2	5.05	58.033	5.101	2.945	12.672	mosaic
318374	value	4	51.1	57.6	53.25	1.85	53.8	2.731	1.366	4.346	mosaic
318417	value	3	60.4	66.9	63.7	3.25	63.667	3.25	1.876	8.074	mosaic
318422	value	5	67.1	73.6	70.4	2.8	70.38	2.502	1.119	3.107	mosaic
318433	value	5	53.2	70.7	56.5	4.5	58.62	7.075	3.164	8.785	mosaic
318450	value	2	50.4	50.4	50.4	0	50.4	0	0	0	mosaic
318458	value	5	52.9	57.7	53.4	1.2	54.28	1.985	0.888	2.465	mosaic
318466	value	3	76.6	78	77.3	0.7	77.3	0.7	0.404	1.739	skewed
318470	value	2	63.8	63.8	63.8	0	63.8	0	0	0	mosaic
318485	value	3	61	71.2	66.1	5.1	66.1	5.1	2.944	12.669	mosaic
318489	value	4	50.5	59.3	53.65	3.175	54.275	3.703	1.851	5.892	mosaic
318497	value	3	52.2	58.9	55.5	3.35	55.533	3.35	1.934	8.322	mosaic
318520	value	3	51.6	56.3	54	2.35	53.967	2.35	1.357	5.838	mosaic
318523	value	4	50.5	65.4	61.8	6.575	59.875	6.66	3.33	10.597	mosaic
318531	value	4	77.1	89.9	80.45	5.525	81.975	5.658	2.829	9.003	extremely skewed
318573	value	2	60.2	60.2	60.2	0	60.2	0	0	0	mosaic
318580	value	2	63.6	63.6	63.6	0	63.6	0	0	0	mosaic
318581	value	5	56.8	71.3	63.5	10.8	63.48	6.418	2.87	7.969	mosaic
318600	value	2	72.7	72.7	72.7	0	72.7	0	0	0	skewed
318609	value	3	80.2	80.5	80.3	0.15	80.333	0.153	0.088	0.379	extremely skewed
318625	value	6	50.5	64.2	56.25	4.075	56.167	4.784	1.953	5.021	mosaic
318641	value	4	52.9	56.5	55.9	1.8	55.3	1.697	0.849	2.7	mosaic
318642	value	6	50	60.5	52.45	1.1	53.517	3.613	1.475	3.792	mosaic
318643	value	5	58.9	74.7	65.2	3.9	65.18	5.979	2.674	7.424	mosaic
318662	value	5	50.3	67.8	56.3	5.5	56.34	7.025	3.142	8.723	mosaic
318680	value	4	70.9	85.4	77.9	3.775	78.025	5.922	2.961	9.423	skewed
318689	value	3	59.4	70	64.7	5.3	64.7	5.3	3.06	13.166	mosaic
318726	value	2	68.5	68.5	68.5	0	68.5	0	0	0	mosaic
318730	value	3	55.6	64.7	61.5	4.55	60.6	4.616	2.665	11.467	mosaic
318736	value	3	57.3	58.6	58	0.65	57.967	0.651	0.376	1.616	mosaic
318745	value	2	83.7	83.7	83.7	0	83.7	0	0	0	extremely skewed
318761	value	6	51.7	70.6	57.6	1.775	58.867	6.274	2.561	6.584	mosaic
318765	value	6	63.4	77.9	72.4	3.475	72.167	4.967	2.028	5.212	skewed
318766	value	6	50.2	63.7	53.25	4.55	54.383	5.053	2.063	5.303	mosaic
318793	value	3	58.2	59.3	58.8	0.55	58.767	0.551	0.318	1.368	mosaic
318799	value	6	50.2	57.6	52.2	3.45	53.1	2.826	1.154	2.965	mosaic
318810	value	4	57	63	59.8	3.15	59.9	2.612	1.306	4.155	mosaic
318812	value	3	56.3	66.4	61.4	5.05	61.367	5.05	2.916	12.545	mosaic
318825	value	4	50	55.5	50.9	2.725	51.825	2.593	1.296	4.126	mosaic
318852	value	3	61.4	64.5	63.7	1.55	63.2	1.609	0.929	3.998	mosaic
318863	value	4	55.1	67.6	62.05	3.65	61.7	5.127	2.564	8.158	mosaic
318889	value	2	62.5	62.5	62.5	0	62.5	0	0	0	mosaic
319000	value	2	51.1	51.1	51.1	0	51.1	0	0	0	mosaic
319015	value	2	58.8	58.8	58.8	0	58.8	0	0	0	mosaic
319016	value	3	52.9	61.1	57	4.1	57	4.1	2.367	10.185	mosaic
319023	value	4	57.9	62.5	58.75	1.825	59.475	2.089	1.044	3.324	mosaic
319037	value	5	53.6	56.1	54.7	1.8	54.68	1.103	0.493	1.37	mosaic
319042	value	5	57.2	60.2	58.9	1.7	58.92	1.24	0.554	1.539	mosaic
319056	value	4	59.2	61.3	60.5	0.675	60.375	0.873	0.437	1.389	mosaic
319064	value	3	72	74.2	73.1	1.1	73.1	1.1	0.635	2.733	skewed
319080	value	2	51.2	51.2	51.2	0	51.2	0	0	0	mosaic
319082	value	4	51.1	60.4	57.85	3.9	56.8	4.077	2.038	6.487	mosaic
319096	value	4	53.2	57.4	55.05	1.275	55.175	1.725	0.863	2.745	mosaic
319141	value	3	74.1	84.4	75.6	5.15	78.033	5.564	3.213	13.823	skewed
319153	value	5	57.1	71.6	62.9	2.4	63.08	5.34	2.388	6.63	mosaic
319155	value	3	71.3	78.3	74.8	3.5	74.8	3.5	2.021	8.694	skewed
319165	value	5	51.1	62.8	57.2	9	57.18	5.224	2.336	6.486	mosaic
319170	value	4	65.4	83.4	73.15	5.475	73.775	7.403	3.701	11.78	skewed
319187	value	3	60.6	62.7	61.7	1.05	61.667	1.05	0.606	2.609	mosaic
319189	value	3	54.2	54.4	54.3	0.1	54.3	0.1	0.058	0.248	mosaic
319197	value	2	65	65	65	0	65	0	0	0	mosaic
319231	value	4	53.7	58.4	56.5	2.675	56.275	2.101	1.051	3.344	mosaic
319235	value	2	52.4	52.4	52.4	0	52.4	0	0	0	mosaic
319250	value	2	78	78	78	0	78	0	0	0	skewed
319276	value	2	50.7	50.7	50.7	0	50.7	0	0	0	mosaic
319289	value	3	54.9	58.7	56.8	1.9	56.8	1.9	1.097	4.72	mosaic
319321	value	4	58.4	66.3	63.65	2.95	63	3.354	1.677	5.336	mosaic
319325	value	4	52.4	59.8	56.75	2.375	56.425	3.058	1.529	4.865	mosaic
319329	value	4	71.2	73.9	73	0.675	72.775	1.132	0.566	1.802	skewed
319334	value	5	51	57.1	53.5	1.9	53.46	2.337	1.045	2.902	mosaic
319345	value	4	74.4	89.9	80.65	5	81.4	6.416	3.208	10.209	extremely skewed
319356	value	5	51.7	65.2	58.5	2.9	58.5	4.882	2.183	6.062	mosaic
319361	value	5	52.7	65.8	59.9	0.9	59.78	4.67	2.088	5.798	mosaic
319367	value	5	50.3	56.6	53.5	2.2	53.52	2.361	1.056	2.931	mosaic
319408	value	6	57.4	72.8	63.65	3.65	63.867	5.195	2.121	5.452	mosaic
319433	value	5	56.5	81.6	69.9	3.5	69.9	9	4.025	11.175	mosaic
319459	value	5	68.8	72.8	71.1	1	71.1	1.488	0.666	1.848	skewed
319460	value	2	62.1	62.1	62.1	0	62.1	0	0	0	mosaic
319470	value	4	59.8	63.2	62.55	1.675	62.025	1.58	0.79	2.514	mosaic
319471	value	5	50.4	61.5	53.5	1.9	54.5	4.196	1.876	5.21	mosaic
319489	value	4	53.1	74.7	64.65	5.925	64.275	8.833	4.417	14.056	mosaic
319512	value	3	68.6	72.6	70.6	2	70.6	2	1.155	4.968	mosaic
319525	value	6	57.1	76.5	62.1	9.3	64.533	7.486	3.056	7.856	mosaic
319532	value	4	51.6	61.2	55.1	3	55.75	4.004	2.002	6.371	mosaic
319569	value	6	53.1	57.9	55.15	1.075	55.217	1.598	0.652	1.677	mosaic
319579	value	3	61.3	65.7	63.5	2.2	63.5	2.2	1.27	5.465	mosaic
319592	value	3	72	72.2	72.1	0.1	72.1	0.1	0.058	0.248	skewed
319607	value	2	64.1	67.4	65.75	1.65	65.75	2.333	1.65	20.965	mosaic
319638	value	2	69	69	69	0	69	0	0	0	mosaic
319678	value	3	55.1	77.9	66.5	11.4	66.5	11.4	6.582	28.319	mosaic
319681	value	5	56.2	68.8	63.5	7	63.46	5.184	2.318	6.437	mosaic
319689	value	5	52.4	57.8	55.1	3	55.14	2.185	0.977	2.713	mosaic
319691	value	3	56.8	63.3	60	3.25	60.033	3.25	1.876	8.074	mosaic
319707	value	4	60.4	70	66.4	3.3	65.8	4.01	2.005	6.381	mosaic
319710	value	5	56.7	66.1	61.1	6.4	61.1	4.032	1.803	5.006	mosaic
319711	value	2	54.5	54.5	54.5	0	54.5	0	0	0	mosaic
319715	value	2	58.5	58.5	58.5	0	58.5	0	0	0	mosaic
319726	value	3	77.7	80.2	79	1.25	78.967	1.25	0.722	3.106	skewed
319748	value	5	58.5	62.6	61.4	0.8	61.1	1.56	0.698	1.938	mosaic
319806	value	3	60.5	63.5	62	1.5	62	1.5	0.866	3.726	mosaic
319808	value	2	68.9	68.9	68.9	0	68.9	0	0	0	mosaic
319814	value	5	51.5	73.9	59.1	7.2	59.1	9.064	4.054	11.255	mosaic
319820	value	5	63.4	81.5	69.4	1.7	70.84	6.597	2.95	8.192	mosaic
319822	value	4	50.2	61.3	56.65	3.45	56.2	4.576	2.288	7.281	mosaic
319824	value	6	59.4	76	68.7	7.1	67.733	6.035	2.464	6.333	mosaic
319827	value	2	60.3	60.3	60.3	0	60.3	0	0	0	mosaic
319830	value	2	68.7	70.1	69.4	0.7	69.4	0.99	0.7	8.894	mosaic
319875	value	4	52.5	61.4	55.5	3.275	56.225	3.772	1.886	6.002	mosaic
319890	value	3	80.1	85.8	82.9	2.85	82.933	2.85	1.646	7.08	extremely skewed
320229	value	4	77.4	83.3	79.55	2.9	79.95	2.572	1.286	4.093	extremely skewed
320233	value	4	62.3	72.3	65.9	4.75	66.6	4.338	2.169	6.903	mosaic
320234	value	3	55.3	58	56.6	1.35	56.633	1.35	0.78	3.354	mosaic
320248	value	4	89.6	92.7	91.5	1.075	91.325	1.292	0.646	2.056	extremely skewed
320254	value	3	58.8	65.4	62.1	3.3	62.1	3.3	1.905	8.198	mosaic
320255	value	6	58.2	82.4	67.05	3.925	67.683	8.094	3.304	8.494	mosaic
320256	value	6	50.3	82.5	61	11.475	61.917	11.793	4.815	12.376	mosaic
320277	value	4	61	68.1	64.1	2.075	64.325	2.915	1.457	4.638	mosaic
320280	value	6	93.3	99.6	97.4	3.575	96.967	2.499	1.02	2.622	extremely skewed
320290	value	2	76.4	76.4	76.4	0	76.4	0	0	0	skewed
320345	value	4	64.4	72	69.05	2.575	68.625	3.163	1.581	5.033	mosaic
320357	value	6	50.7	58.5	53.5	1.875	53.483	2.779	1.134	2.916	mosaic
320362	value	4	71	82.5	78.65	4.3	77.7	4.883	2.442	7.77	skewed
320376	value	3	64	68.2	66.1	2.1	66.1	2.1	1.212	5.217	mosaic
320420	value	5	52.8	69.1	60.3	8.7	60.34	6.56	2.934	8.145	mosaic
320433	value	3	61	64.6	62.8	1.8	62.8	1.8	1.039	4.471	mosaic
320468	value	6	50.3	67.8	60.95	8.9	59.483	6.687	2.73	7.017	mosaic
320486	value	3	55.8	62.9	59.3	3.55	59.333	3.55	2.05	8.819	mosaic
320511	value	4	55.5	70.9	64.4	4.75	63.8	6.344	3.172	10.095	mosaic
320525	value	5	52.7	67	63.6	2.8	62.06	5.533	2.474	6.87	mosaic
320547	value	3	62.3	68.6	65.4	3.15	65.433	3.15	1.819	7.825	mosaic
320560	value	4	62.3	73.1	65.7	4.2	66.7	4.63	2.315	7.368	mosaic
320564	value	6	62.2	75.4	67.65	7.775	67.917	5.324	2.174	5.587	mosaic
320566	value	5	51.1	55.8	51.8	1.2	52.5	1.922	0.86	2.387	mosaic
320570	value	3	60.7	67.6	64.2	3.45	64.167	3.45	1.992	8.571	mosaic
320574	value	4	84.5	98.4	96.1	6.925	93.775	6.553	3.276	10.427	extremely skewed
320601	value	6	50.3	54.2	52.35	1.975	52.333	1.484	0.606	1.558	mosaic
320607	value	6	50.4	69.2	57.65	2.525	58.217	6.157	2.514	6.461	mosaic
320615	value	4	62.1	76.3	67.667	4.7	68.433	5.898	2.949	9.384	mosaic
320658	value	3	70.1	71.5	70.8	0.7	70.8	0.7	0.404	1.739	mosaic
320668	value	5	66.5	77.1	68.5	2.3	69.92	4.203	1.879	5.218	mosaic
320678	value	4	62.7	67.6	63.85	2.2	64.5	2.202	1.101	3.503	mosaic
320822	value	5	62.7	76.2	69	5.3	69.04	5.143	2.3	6.386	mosaic
320832	value	3	63.6	70.3	67	3.35	66.967	3.35	1.934	8.322	mosaic
320835	value	6	52.5	63.6	58.45	5.6	58.183	4.209	1.718	4.417	mosaic
320841	value	2	53.9	53.9	53.9	0	53.9	0	0	0	mosaic
320843	value	4	54.9	67	64.9	6.025	62.925	5.681	2.84	9.039	mosaic
320862	value	4	52.8	61.5	56.25	2.85	56.7	3.608	1.804	5.742	mosaic
320864	value	5	64.1	89.2	78.3	8.3	78.3	9.491	4.245	11.785	skewed
320888	value	5	54.7	82.3	71.8	6.6	71.76	10.546	4.717	13.095	skewed
320891	value	3	61	66.7	63.9	2.85	63.867	2.85	1.646	7.08	mosaic
320896	value	3	53.9	65.1	59.5	5.6	59.5	5.6	3.233	13.911	mosaic
320901	value	5	54.6	63.7	57.1	2.2	57.76	3.549	1.587	4.406	mosaic
320902	value	5	68.3	80.3	77.6	3.5	76.58	4.895	2.189	6.077	skewed
321022	value	3	82.4	85.6	84.3	1.6	84.1	1.609	0.929	3.998	extremely skewed
321025	value	6	62	78.6	65.7	3.2	67	5.988	2.444	6.284	mosaic
321051	value	6	52.1	70.4	62.2	3.75	61.917	6.008	2.453	6.305	mosaic
321053	value	5	50	62.9	55.1	3.9	55.1	4.952	2.215	6.149	mosaic
321063	value	5	50.1	63.8	54.4	2.3	55.36	5.122	2.291	6.36	mosaic
321094	value	4	51.4	52.8	52.5	0.65	52.3	0.638	0.319	1.015	mosaic
321433	value	4	53.9	63.8	60.35	3.6	59.6	4.179	2.089	6.649	mosaic
321453	value	2	77.6	77.6	77.6	0	77.6	0	0	0	skewed
321465	value	6	51.4	73.6	68.25	6.15	66.567	8.089	3.302	8.489	mosaic
321467	value	3	54.2	65.8	60	5.8	60	5.8	3.349	14.408	mosaic
321469	value	4	53.7	81.4	70.7	9.325	69.125	11.528	5.764	18.344	mosaic
321478	value	6	54.4	82	68.35	14.25	68.233	10.579	4.319	11.102	mosaic
321482	value	2	55.7	55.7	55.7	0	55.7	0	0	0	mosaic
321834	value	2	70.2	70.2	70.2	0	70.2	0	0	0	mosaic
321841	value	3	56.7	85.5	74.3	14.4	72.167	14.518	8.382	36.065	skewed
321852	value	5	51	74.7	63.5	8.9	63.54	8.978	4.015	11.148	mosaic
321883	value	5	50.9	56.2	53.4	0.2	53.42	1.879	0.84	2.334	mosaic
