sample	method	variable	n	min	max	median	iqr	mean	sd	se	ci
303299	mini	value	3	53.7	54.2	54	0.25	53.967	0.252	0.145	0.625
303307	mini	value	3	52.8	56.3	54.5	1.75	54.533	1.75	1.011	4.348
303402	mini	value	3	62	65.4	63.7	1.7	63.7	1.7	0.981	4.223
303411	mini	value	3	67	68.8	67.9	0.9	67.9	0.9	0.52	2.236
303419	mini	value	3	91.5	95.1	93.3	1.8	93.3	1.8	1.039	4.471
303420	mini	value	3	73.8	76.9	75.3	1.55	75.333	1.55	0.895	3.851
303422	mini	value	3	70.8	84.4	77.6	6.8	77.6	6.8	3.926	16.892
303423	mini	value	2	64	64	64	0	64	0	0	0
303428	mini	value	2	59.9	59.9	59.9	0	59.9	0	0	0
303432	mini	value	3	51.1	61.1	56.1	5	56.1	5	2.887	12.421
303435	mini	value	3	55.8	56.4	56.1	0.3	56.1	0.3	0.173	0.745
303438	mini	value	3	51.6	63.3	57.5	5.85	57.467	5.85	3.378	14.532
303439	mini	value	3	58	58.7	58.4	0.35	58.367	0.351	0.203	0.872
303440	mini	value	3	66.9	81.1	74	7.1	74	7.1	4.099	17.637
303455	mini	value	2	58.9	58.9	58.9	0	58.9	0	0	0
303457	mini	value	2	57.9	57.9	57.9	0	57.9	0	0	0
303459	mini	value	2	50.8	50.8	50.8	0	50.8	0	0	0
303466	mini	value	3	67.8	69.3	68.6	0.75	68.567	0.751	0.433	1.864
303467	mini	value	3	65.2	68.4	66.8	1.6	66.8	1.6	0.924	3.975
303476	mini	value	3	50.9	59.1	55	4.1	55	4.1	2.367	10.185
303479	mini	value	3	62.9	65.5	64.2	1.3	64.2	1.3	0.751	3.229
303486	mini	value	3	61.4	70.1	65.8	4.35	65.767	4.35	2.512	10.806
303497	mini	value	3	52.2	52.7	52.5	0.25	52.467	0.252	0.145	0.625
303499	mini	value	2	57.4	57.4	57.4	0	57.4	0	0	0
303500	mini	value	2	63.7	63.7	63.7	0	63.7	0	0	0
303502	mini	value	3	64	67.7	65.8	1.85	65.833	1.85	1.068	4.596
303503	mini	value	3	55.9	57.8	56.8	0.95	56.833	0.95	0.549	2.361
303504	mini	value	3	52.8	53.5	53.1	0.35	53.133	0.351	0.203	0.872
303505	mini	value	3	56.1	63.2	59.7	3.55	59.667	3.55	2.05	8.819
303510	mini	value	3	53	54.4	53.7	0.7	53.7	0.7	0.404	1.739
303517	mini	value	3	55.7	62.2	59	3.25	58.967	3.25	1.876	8.074
303518	mini	value	3	51	59.5	55.2	4.25	55.233	4.25	2.454	10.558
303523	mini	value	3	51.6	72.2	61.9	10.3	61.9	10.3	5.947	25.587
303544	mini	value	2	54.2	54.2	54.2	0	54.2	0	0	0
303616	mini	value	3	50.2	59.9	55	4.85	55.033	4.85	2.8	12.048
303620	mini	value	3	51.7	53.1	52.4	0.7	52.4	0.7	0.404	1.739
303628	mini	value	2	50.9	50.9	50.9	0	50.9	0	0	0
303630	mini	value	3	60.3	67.6	63.9	3.65	63.933	3.65	2.107	9.067
303632	mini	value	3	53.2	53.6	53.4	0.2	53.4	0.2	0.115	0.497
303636	mini	value	2	71.9	71.9	71.9	0	71.9	0	0	0
303637	mini	value	3	52.7	54	53.4	0.65	53.367	0.651	0.376	1.616
303638	mini	value	3	51.6	54.5	53	1.45	53.033	1.45	0.837	3.603
303640	mini	value	2	85.7	85.7	85.7	0	85.7	0	0	0
303646	mini	value	3	50.9	61.7	56.3	5.4	56.3	5.4	3.118	13.414
303648	mini	value	2	67.9	67.9	67.9	0	67.9	0	0	0
303653	mini	value	2	67.3	67.3	67.3	0	67.3	0	0	0
303655	mini	value	2	76.7	76.7	76.7	0	76.7	0	0	0
303657	mini	value	3	60.4	70.5	65.4	5.05	65.433	5.05	2.916	12.545
303660	mini	value	2	53.9	53.9	53.9	0	53.9	0	0	0
303663	mini	value	3	64.7	73.9	69.3	4.6	69.3	4.6	2.656	11.427
303664	mini	value	2	66.2	66.2	66.2	0	66.2	0	0	0
303666	mini	value	3	66	72.8	69.4	3.4	69.4	3.4	1.963	8.446
303670	mini	value	2	82.5	82.5	82.5	0	82.5	0	0	0
303671	mini	value	2	62	62	62	0	62	0	0	0
303672	mini	value	3	72.8	77.8	75.3	2.5	75.3	2.5	1.443	6.21
303673	mini	value	2	53.3	53.3	53.3	0	53.3	0	0	0
303675	mini	value	3	69.3	73.4	71.3	2.05	71.333	2.05	1.184	5.093
303681	mini	value	3	61.7	62.3	62	0.3	62	0.3	0.173	0.745
303682	mini	value	2	51.9	51.9	51.9	0	51.9	0	0	0
303683	mini	value	2	63.1	63.1	63.1	0	63.1	0	0	0
303684	mini	value	3	86.8	88.2	87.5	0.7	87.5	0.7	0.404	1.739
303686	mini	value	2	82.5	82.5	82.5	0	82.5	0	0	0
303688	mini	value	3	72	72.8	72.4	0.4	72.4	0.4	0.231	0.994
303690	mini	value	3	50.9	67.8	59.3	8.45	59.333	8.45	4.879	20.991
303695	mini	value	3	63.7	77.6	70.7	6.95	70.667	6.95	4.013	17.265
303699	mini	value	3	50.3	64.2	57.2	6.95	57.233	6.95	4.013	17.265
303703	mini	value	3	81.9	84.3	83.1	1.2	83.1	1.2	0.693	2.981
303704	mini	value	2	50.3	50.3	50.3	0	50.3	0	0	0
303712	mini	value	2	62.4	62.4	62.4	0	62.4	0	0	0
303713	mini	value	2	80.5	80.5	80.5	0	80.5	0	0	0
303714	mini	value	3	56	74.7	65.3	9.35	65.333	9.35	5.398	23.227
303717	mini	value	2	51.3	51.3	51.3	0	51.3	0	0	0
303718	mini	value	3	64.5	64.9	64.7	0.2	64.7	0.2	0.115	0.497
303730	mini	value	3	57.5	58.4	58	0.45	57.967	0.451	0.26	1.12
303737	mini	value	2	64.2	64.2	64.2	0	64.2	0	0	0
303740	mini	value	3	53.9	59.9	56.9	3	56.9	3	1.732	7.452
303745	mini	value	3	55.5	56.8	56.1	0.65	56.133	0.651	0.376	1.616
303756	mini	value	2	54.6	54.6	54.6	0	54.6	0	0	0
303757	mini	value	2	64.6	64.6	64.6	0	64.6	0	0	0
303762	mini	value	3	72.3	72.7	72.5	0.2	72.5	0.2	0.115	0.497
303767	mini	value	2	62.9	62.9	62.9	0	62.9	0	0	0
303768	mini	value	2	58.5	58.5	58.5	0	58.5	0	0	0
303772	mini	value	3	64.5	65.4	65	0.45	64.967	0.451	0.26	1.12
303773	mini	value	3	51.3	51.7	51.5	0.2	51.5	0.2	0.115	0.497
303778	mini	value	2	54.7	54.7	54.7	0	54.7	0	0	0
303786	mini	value	2	71.2	71.2	71.2	0	71.2	0	0	0
303787	mini	value	3	71.1	73.3	72.2	1.1	72.2	1.1	0.635	2.733
303795	mini	value	2	67	67	67	0	67	0	0	0
303799	mini	value	3	54.2	59.6	56.9	2.7	56.9	2.7	1.559	6.707
303800	mini	value	2	73.1	73.1	73.1	0	73.1	0	0	0
305105	mini	value	3	55.1	61.5	58.3	3.2	58.3	3.2	1.848	7.949
305127	mini	value	3	57	67.9	62.5	5.45	62.467	5.45	3.147	13.539
305130	mini	value	3	56	63.5	59.8	3.75	59.767	3.75	2.165	9.316
305131	mini	value	3	52.6	65.5	59	6.45	59.033	6.45	3.724	16.023
305151	mini	value	3	56.9	66.2	61.5	4.65	61.533	4.65	2.685	11.551
305163	mini	value	3	63.7	76.1	69.9	6.2	69.9	6.2	3.58	15.402
305165	mini	value	3	74.9	75.1	75	0.1	75	0.1	0.058	0.248
305177	mini	value	2	66.4	66.4	66.4	0	66.4	0	0	0
305354	mini	value	2	66.7	66.7	66.7	0	66.7	0	0	0
305369	mini	value	3	57	59.7	58.4	1.35	58.367	1.35	0.78	3.354
305379	mini	value	2	59	59	59	0	59	0	0	0
305382	mini	value	2	58.1	58.1	58.1	0	58.1	0	0	0
305391	mini	value	3	50.8	56.8	53.8	3	53.8	3	1.732	7.452
307816	mini	value	2	67	67	67	0	67	0	0	0
307821	mini	value	2	53.5	53.5	53.5	0	53.5	0	0	0
307822	mini	value	3	54.7	60.6	57.7	2.95	57.667	2.95	1.703	7.329
307827	mini	value	3	70.1	85.2	77.7	7.55	77.667	7.55	4.359	18.755
307832	mini	value	3	51.9	52.9	52.4	0.5	52.4	0.5	0.289	1.242
307835	mini	value	2	58.6	58.6	58.6	0	58.6	0	0	0
307837	mini	value	3	52.3	58.3	55.3	3	55.3	3	1.732	7.452
307838	mini	value	3	63.1	69.6	66.3	3.25	66.333	3.25	1.876	8.074
307839	mini	value	3	78.3	90.6	84.4	6.15	84.433	6.15	3.551	15.278
307899	mini	value	2	51.8	51.8	51.8	0	51.8	0	0	0
307902	mini	value	3	64.3	78.1	71.2	6.9	71.2	6.9	3.984	17.141
307903	mini	value	3	50.1	57.7	53.9	3.8	53.9	3.8	2.194	9.44
307915	mini	value	3	60.9	62.5	61.7	0.8	61.7	0.8	0.462	1.987
307917	mini	value	3	69	74	71.5	2.5	71.5	2.5	1.443	6.21
307919	mini	value	2	67.5	67.5	67.5	0	67.5	0	0	0
307921	mini	value	3	58	71.1	64.6	6.55	64.567	6.55	3.782	16.271
307924	mini	value	2	64.7	64.7	64.7	0	64.7	0	0	0
307927	mini	value	2	85.5	85.5	85.5	0	85.5	0	0	0
307929	mini	value	2	50.2	50.2	50.2	0	50.2	0	0	0
307933	mini	value	3	50.2	59.3	54.8	4.55	54.767	4.55	2.627	11.303
307937	mini	value	3	52.3	58.5	55.4	3.1	55.4	3.1	1.79	7.701
307938	mini	value	3	50.7	57.3	54	3.3	54	3.3	1.905	8.198
307940	mini	value	3	68.9	73.4	71.2	2.25	71.167	2.25	1.299	5.59
307942	mini	value	3	51.6	55.6	53.6	2	53.6	2	1.155	4.968
307959	mini	value	2	60.7	60.7	60.7	0	60.7	0	0	0
307973	mini	value	3	58.3	61.4	59.8	1.55	59.833	1.55	0.895	3.851
307974	mini	value	2	62.2	62.2	62.2	0	62.2	0	0	0
307976	mini	value	2	55.6	55.6	55.6	0	55.6	0	0	0
307999	mini	value	3	58.2	60.6	59.4	1.2	59.4	1.2	0.693	2.981
309242	full	value	5	73.8	80.9	76.8	4.4	76.78	3.009	1.346	3.736
313013	full	value	5	52	55.8	53.7	1.5	53.68	1.462	0.654	1.815
313605	full	value	6	58	64.4	61.15	2.05	61.067	2.203	0.9	2.312
313609	full	value	5	53.3	66.9	63.9	3.2	62.42	5.375	2.404	6.674
313633	mini	value	2	72.3	72.3	72.3	0	72.3	0	0	0
313639	mini	value	3	62.8	65.5	64.2	1.35	64.167	1.35	0.78	3.354
313642	mini	value	2	58.4	58.4	58.4	0	58.4	0	0	0
313644	full	value	5	52.2	60.3	56.6	6.6	56.58	3.708	1.658	4.605
313668	full	value	5	79.2	85.4	82.2	3.2	82.16	2.471	1.105	3.069
313673	full	value	4	51.4	56.6	55.35	2.275	54.675	2.323	1.161	3.696
313690	full	value	6	61.1	71.2	67.55	1.425	67.067	3.323	1.357	3.487
313694	mini	value	3	54.7	65.5	60.1	5.4	60.1	5.4	3.118	13.414
313696	full	value	3	51.7	54.5	52.2	1.4	52.8	1.493	0.862	3.71
313697	full	value	5	61.2	72.3	67.1	0.9	67.1	3.953	1.768	4.908
314100	full	value	6	51	69.2	56.75	4.375	57.083	6.548	2.673	6.871
314311	full	value	3	59.6	70.3	65	5.35	64.967	5.35	3.089	13.29
315015	full	value	5	51.8	60.9	55.8	2.1	55.76	3.356	1.501	4.167
315049	full	value	5	73	94.9	84.2	7.1	84.24	8.145	3.643	10.114
315058	full	value	5	51.9	82	66.7	6.8	66.72	10.912	4.88	13.55
315077	full	value	2	60.9	60.9	60.9	0	60.9	0	0	0
315092	full	value	4	60.6	64.8	63.05	1.275	62.875	1.731	0.865	2.754
315129	full	value	4	54.3	69.6	66.05	6.75	64	6.867	3.433	10.927
315163	full	value	3	53.7	55.2	54.5	0.75	54.467	0.751	0.433	1.864
315186	full	value	3	65.5	70.5	68	2.5	68	2.5	1.443	6.21
315188	full	value	6	51.3	82	71.55	11.55	69.917	11.054	4.513	11.6
315199	full	value	5	61.3	71.5	67.6	2.2	67.52	3.85	1.722	4.78
315202	full	value	6	58.9	71.9	62	4.875	63.183	4.866	1.987	5.107
315215	full	value	5	56.5	74.1	70.4	5.3	68.78	7.246	3.241	8.997
315222	mini	value	3	52.1	58.4	55.2	3.15	55.233	3.15	1.819	7.825
315228	full	value	3	51.7	53.9	52.8	1.1	52.8	1.1	0.635	2.733
315269	mini	value	3	51.2	53.8	52.5	1.3	52.5	1.3	0.751	3.229
315313	full	value	4	50.6	63.7	58.4	4.175	57.775	5.419	2.709	8.622
315324	full	value	5	50.2	57	53.7	5.5	53.68	3.093	1.383	3.841
315326	full	value	4	51.3	66.5	58.7	3.95	58.8	6.207	3.103	9.877
315339	mini	value	3	56.4	59.7	58	1.65	58.033	1.65	0.953	4.099
315385	full	value	4	54.4	55.9	54.9	0.525	55.025	0.634	0.317	1.01
315386	full	value	5	50.4	59.2	54.2	4.7	54.18	3.582	1.602	4.448
315400	full	value	6	71.5	83.3	75.15	2.4	75.933	4.021	1.642	4.22
315867	mini	value	3	57.5	70.1	63.8	6.3	63.8	6.3	3.637	15.65
315906	full	value	4	53.6	66.1	58.3	4.325	59.075	5.222	2.611	8.309
315911	full	value	6	52.8	66.7	59.45	3.675	59.6	4.653	1.9	4.883
315918	mini	value	3	66.9	67.6	67.2	0.35	67.233	0.351	0.203	0.872
315922	full	value	4	59.4	66.3	65.1	3.375	63.975	3.229	1.615	5.139
315945	mini	value	3	61.3	69.7	65.5	4.2	65.5	4.2	2.425	10.433
315952	full	value	5	66	73.4	69.8	1.2	69.76	2.651	1.186	3.292
315973	full	value	5	61.8	73.7	68	9.2	68.02	5.325	2.381	6.612
315988	mini	value	3	73.8	88.7	81.2	7.45	81.233	7.45	4.301	18.507
316010	mini	value	3	55	59.4	57.2	2.2	57.2	2.2	1.27	5.465
316274	full	value	4	70.9	78.4	76.2	3.075	75.425	3.256	1.628	5.181
316301	mini	value	2	61.6	61.6	61.6	0	61.6	0	0	0
316302	full	value	3	59.1	63.5	61.3	2.2	61.3	2.2	1.27	5.465
316314	mini	value	3	50.1	50.9	50.5	0.4	50.5	0.4	0.231	0.994
316315	mini	value	2	57.6	57.6	57.6	0	57.6	0	0	0
316324	full	value	5	52.4	63.4	59.8	2.7	59.42	4.256	1.903	5.284
316327	full	value	5	55.6	62.9	57.2	1.5	58.08	2.844	1.272	3.531
316340	full	value	4	80.6	88.2	85.6	2.8	85	3.217	1.608	5.118
316345	full	value	4	50	53.5	51.3	1.175	51.525	1.461	0.731	2.325
316346	mini	value	2	62.9	62.9	62.9	0	62.9	0	0	0
316348	full	value	6	62	75.6	70.95	4.1	70.733	4.901	2.001	5.144
316354	mini	value	3	60.1	75.1	67.6	7.5	67.6	7.5	4.33	18.631
316367	mini	value	2	61	61	61	0	61	0	0	0
316373	full	value	5	54.9	71	64.4	9.6	64.38	6.779	3.032	8.417
316387	mini	value	3	74.8	77.8	76.3	1.5	76.3	1.5	0.866	3.726
316389	full	value	6	77.4	86.4	84.35	2.4	83.567	3.275	1.337	3.436
316415	mini	value	2	70.5	70.5	70.5	0	70.5	0	0	0
316468	mini	value	2	67	67	67	0	67	0	0	0
316472	mini	value	3	51.3	52.3	51.8	0.5	51.8	0.5	0.289	1.242
316476	full	value	4	63.2	82.2	73.25	5.125	72.975	7.766	3.883	12.357
316493	full	value	4	54.1	65.9	62.8	5.05	61.4	5.208	2.604	8.288
316502	mini	value	3	56.8	58.9	57.8	1.05	57.833	1.05	0.606	2.609
316517	mini	value	3	52.7	57.2	55	2.25	54.967	2.25	1.299	5.59
316544	full	value	3	59.4	64.4	61.9	2.5	61.9	2.5	1.443	6.21
316558	mini	value	3	50.7	61.6	56.2	5.45	56.167	5.45	3.147	13.539
316561	full	value	5	54.1	65.5	62	1.4	61	4.208	1.882	5.225
316568	mini	value	3	53.6	63.9	58.8	5.15	58.767	5.15	2.973	12.794
316604	full	value	5	50.8	62.5	57	6	57.02	4.664	2.086	5.791
316611	full	value	5	50.7	57.3	52.9	2.6	53.42	2.565	1.147	3.184
316613	full	value	4	52.4	56.3	54	1.275	54.175	1.613	0.807	2.567
316635	full	value	6	53.6	71.5	59.45	11.125	61.3	7.351	3.001	7.715
316647	full	value	5	59.1	71.1	64.5	7.1	64.52	4.963	2.22	6.162
316652	mini	value	3	79	84.8	81.9	2.9	81.9	2.9	1.674	7.204
316653	mini	value	3	55.4	73.3	64.3	8.95	64.333	8.95	5.167	22.233
316654	full	value	5	66.3	78.3	73.3	6.8	73.3	4.978	2.226	6.181
316662	full	value	6	55.4	61.8	56.75	1.3	57.233	2.353	0.961	2.47
316676	full	value	4	53.4	59	54.85	2.375	55.525	2.473	1.237	3.935
316680	mini	value	2	54.7	54.7	54.7	0	54.7	0	0	0
316683	full	value	6	50.5	63.1	54.75	1.45	55.3	4.198	1.714	4.405
316689	full	value	5	63.7	66	64.7	0.4	64.72	0.835	0.373	1.037
316700	full	value	5	68.3	77.8	73	5.2	72.98	3.83	1.713	4.755
316707	full	value	5	52.3	77.4	60.9	8	60.88	10.127	4.529	12.574
316714	full	value	3	54	68.1	63.3	7.05	61.8	7.169	4.139	17.808
316721	full	value	4	51	53.7	51.7	1.125	52.025	1.19	0.595	1.893
316732	mini	value	2	51.8	51.8	51.8	0	51.8	0	0	0
316755	mini	value	2	71.7	71.7	71.7	0	71.7	0	0	0
316757	mini	value	3	58.2	72.1	65.2	6.95	65.167	6.95	4.013	17.265
316765	mini	value	3	60.9	71.6	66.2	5.35	66.233	5.35	3.089	13.29
316769	mini	value	3	60.6	66	63.3	2.7	63.3	2.7	1.559	6.707
316785	mini	value	3	61.6	63	62.3	0.7	62.3	0.7	0.404	1.739
316795	full	value	2	68.8	69.5	69.15	0.35	69.15	0.495	0.35	4.447
316798	full	value	5	53	65.5	60.2	4.9	60.24	4.851	2.169	6.023
316803	full	value	4	76.6	87.4	83.6	3.15	82.8	4.511	2.256	7.179
316809	full	value	4	51.5	76.3	57.35	11.075	60.625	11.129	5.564	17.708
316819	mini	value	2	72.9	72.9	72.9	0	72.9	0	0	0
316820	full	value	4	65.5	72.7	69.4	2.25	69.25	2.955	1.477	4.702
316849	full	value	5	51.2	57	53.1	0.5	53.6	2.111	0.944	2.621
316856	full	value	5	50.5	71.1	58.2	5.7	58.18	8	3.578	9.933
316861	mini	value	3	54.1	58.5	56.3	2.2	56.3	2.2	1.27	5.465
316879	mini	value	3	54.6	61.1	57.9	3.25	57.867	3.25	1.876	8.074
316886	full	value	5	57.6	79.1	67.2	0.7	67.72	7.627	3.411	9.471
316903	full	value	5	54.4	66.6	56.1	3.2	57.98	5.019	2.245	6.232
316914	full	value	3	57	65.7	63.7	4.35	62.133	4.557	2.631	11.319
316960	full	value	3	53.8	55.3	54.5	0.75	54.533	0.751	0.433	1.864
316970	full	value	6	50.5	62.5	53.25	4.475	54.383	4.508	1.841	4.731
316972	full	value	5	54.2	63.3	55.8	2.1	57.08	3.638	1.627	4.518
316977	full	value	5	79.9	86.2	82.4	2.5	82.36	2.497	1.117	3.1
316984	full	value	5	50.4	68	58.9	12.8	58.94	7.698	3.443	9.559
316987	mini	value	3	52.7	62.6	57.7	4.95	57.667	4.95	2.858	12.297
316994	full	value	5	52.9	60.3	57.9	4.9	57.24	3.195	1.429	3.967
316997	full	value	3	50.7	54.7	54.6	2	53.333	2.281	1.317	5.667
316998	full	value	3	69.3	77.4	69.5	4.05	72.067	4.62	2.667	11.476
317001	full	value	4	51.6	71.8	57.3	8.35	59.5	8.814	4.407	14.025
317006	full	value	3	92.1	95.5	93.8	1.7	93.8	1.7	0.981	4.223
317008	full	value	4	56.6	76.9	69.3	5.525	68.025	8.421	4.21	13.399
317017	full	value	5	56.6	66.1	63.8	3.4	63.02	3.885	1.737	4.824
317023	full	value	5	53.7	65.9	60.7	7.1	60.44	5.026	2.248	6.24
317027	full	value	5	63.7	80.5	70.8	5.5	71.14	6.314	2.824	7.84
317031	full	value	3	70.6	86.3	78.4	7.85	78.433	7.85	4.532	19.501
317043	full	value	4	51.2	57.4	54.5	1.7	54.4	2.535	1.268	4.034
317048	full	value	4	55.3	63.2	60.05	4.75	59.65	3.591	1.796	5.714
317055	full	value	4	51.4	73.3	65.4	7.725	63.875	9.194	4.597	14.63
317064	full	value	5	51.9	65.7	54.3	3.3	56.2	5.551	2.482	6.892
317065	full	value	5	63.2	68.2	65.3	3.9	65.4	2.259	1.01	2.805
317067	full	value	3	50.1	54.2	52.4	2.05	52.233	2.055	1.186	5.105
317081	full	value	5	50.7	74.8	56.8	5.1	59.04	9.346	4.18	11.604
317112	full	value	4	50.1	75.5	55.45	11.825	59.125	11.594	5.797	18.448
317121	full	value	5	61.5	70.3	65	4.5	65.02	3.602	1.611	4.473
317134	full	value	4	50.5	62.3	57.55	3.775	56.975	4.884	2.442	7.771
317158	mini	value	3	80.9	82	81.4	0.55	81.433	0.551	0.318	1.368
317159	full	value	2	62.1	62.1	62.1	0	62.1	0	0	0
317168	mini	value	3	74.9	82.5	78.7	3.8	78.7	3.8	2.194	9.44
317189	mini	value	3	60.3	66.6	63.4	3.15	63.433	3.15	1.819	7.825
317204	mini	value	2	54.1	54.1	54.1	0	54.1	0	0	0
317205	full	value	4	52.7	61.5	58.5	3.25	57.8	3.726	1.863	5.93
317218	full	value	3	55.3	64.5	61.6	4.6	60.467	4.704	2.716	11.684
317233	mini	value	3	70.5	77.7	74.1	3.6	74.1	3.6	2.078	8.943
317234	mini	value	3	50.8	53.8	52.3	1.5	52.3	1.5	0.866	3.726
317243	mini	value	2	61.5	61.5	61.5	0	61.5	0	0	0
317258	mini	value	2	57.1	57.1	57.1	0	57.1	0	0	0
317280	full	value	5	50	56.1	54	1.9	53.96	2.432	1.087	3.019
317281	full	value	6	51.4	54.2	53.45	1.6	53.067	1.134	0.463	1.19
317292	mini	value	3	62.5	72.2	67.3	4.85	67.333	4.85	2.8	12.048
317296	full	value	5	51.3	63.2	56.3	5.1	56.3	4.675	2.091	5.805
317315	full	value	4	52	65.5	56.25	5.25	57.5	5.788	2.894	9.21
317317	full	value	5	50.2	84.8	54	8.6	60.12	14.311	6.4	17.77
317347	full	value	3	59.5	74.7	67.1	7.6	67.1	7.6	4.388	18.879
317361	mini	value	2	64.1	64.1	64.1	0	64.1	0	0	0
317366	full	value	5	50.3	58.7	55.2	2.7	55.22	3.203	1.432	3.977
317380	full	value	5	50.7	69.9	61.2	1.2	61	6.833	3.056	8.485
317386	full	value	4	54.9	64.4	56.5	4.775	58.075	4.478	2.239	7.126
317398	full	value	4	51.1	55.5	52.35	1.775	52.825	1.914	0.957	3.045
317402	full	value	4	52.6	55.6	54.3	0.9	54.2	1.233	0.616	1.962
317409	full	value	3	50.1	56.4	53.2	3.15	53.233	3.15	1.819	7.825
317412	full	value	6	51.8	60.7	56.1	2.125	55.867	2.983	1.218	3.131
317419	full	value	5	55.9	64.2	56.9	2	58.32	3.411	1.525	4.235
317427	full	value	5	53.6	61.2	58	0.4	57.72	2.707	1.211	3.361
317431	mini	value	3	59.3	62.2	60.8	1.45	60.767	1.45	0.837	3.603
317438	mini	value	3	54.1	59.2	56.7	2.55	56.667	2.55	1.472	6.335
317450	full	value	5	62.4	74.3	65.7	2	66.8	4.495	2.01	5.581
317457	mini	value	3	52.4	55.5	54	1.55	53.967	1.55	0.895	3.851
317460	full	value	5	58.2	78	68	4.1	68.02	7.149	3.197	8.877
317464	mini	value	2	57.7	57.7	57.7	0	57.7	0	0	0
317490	mini	value	2	50.8	50.8	50.8	0	50.8	0	0	0
317491	mini	value	3	51.9	59.8	55.8	3.95	55.833	3.95	2.281	9.813
317498	full	value	5	50.3	72.6	62.8	7.4	62.78	8.412	3.762	10.445
317501	full	value	3	50.4	52.2	51.3	0.9	51.3	0.9	0.52	2.236
317513	mini	value	3	69.4	72.5	71	1.55	70.967	1.55	0.895	3.851
317526	mini	value	2	50.8	50.8	50.8	0	50.8	0	0	0
317543	mini	value	2	60.3	60.3	60.3	0	60.3	0	0	0
317551	full	value	2	52.1	52.1	52.1	0	52.1	0	0	0
317568	full	value	5	56.5	78.6	73.5	4.2	70.92	8.53	3.815	10.591
317597	mini	value	3	72.4	77.8	75.1	2.7	75.1	2.7	1.559	6.707
317607	mini	value	3	55.5	62.4	59	3.45	58.967	3.45	1.992	8.571
317624	full	value	5	54.1	63.7	61	2.5	60.42	3.781	1.691	4.695
317631	mini	value	2	85.1	85.1	85.1	0	85.1	0	0	0
317636	mini	value	3	54.7	55.5	55.1	0.4	55.1	0.4	0.231	0.994
317661	full	value	6	52.7	57.5	56.3	1.7	55.867	1.767	0.721	1.854
317669	mini	value	3	50.3	63	56.6	6.35	56.633	6.35	3.666	15.774
317671	full	value	4	67.9	87.3	78.35	7.025	77.975	8.02	4.01	12.761
317674	full	value	2	61.3	61.3	61.3	0	61.3	0	0	0
317680	mini	value	2	62.5	62.5	62.5	0	62.5	0	0	0
317689	mini	value	2	70.9	70.9	70.9	0	70.9	0	0	0
317706	full	value	3	55.1	57.8	56.5	1.35	56.467	1.35	0.78	3.354
317710	mini	value	3	63.4	68.8	66.1	2.7	66.1	2.7	1.559	6.707
317711	full	value	5	61.2	66.1	63.3	3.6	63.32	2.174	0.972	2.7
317722	mini	value	3	65	72.1	68.6	3.55	68.567	3.55	2.05	8.819
317727	full	value	2	76.6	76.6	76.6	0	76.6	0	0	0
317734	full	value	6	64.8	73.6	70.6	2.1	70.333	3.049	1.245	3.2
317740	full	value	6	50.3	63.5	57	8.5	57.167	5.486	2.24	5.757
317766	full	value	6	51	60.4	53.75	0.85	54.467	3.143	1.283	3.298
317767	mini	value	3	51.9	65.1	58.5	6.6	58.5	6.6	3.811	16.395
317779	mini	value	3	77.5	83.1	80.3	2.8	80.3	2.8	1.617	6.956
317793	full	value	5	51.5	77.1	60	6.9	60.54	10.055	4.497	12.485
317803	full	value	5	55.3	58.2	56.4	1.2	56.42	1.156	0.517	1.436
317824	mini	value	3	61.2	74.2	67.7	6.5	67.7	6.5	3.753	16.147
317838	full	value	4	51.4	76.9	55.85	12.6	60	11.951	5.975	19.016
317848	mini	value	3	62.5	67	64.8	2.25	64.767	2.25	1.299	5.59
317852	mini	value	2	62.3	62.3	62.3	0	62.3	0	0	0
317855	full	value	5	54.6	59.6	57	0.2	57.04	1.77	0.792	2.198
317904	full	value	6	52.7	64	59.65	5	59.083	4.149	1.694	4.354
317910	full	value	3	54.8	68.1	59	6.65	60.633	6.799	3.925	16.889
317913	full	value	4	51.3	69.1	54.65	8.575	57.425	8.253	4.127	13.133
317917	full	value	6	52.8	71.2	59.6	5.475	60.483	6.329	2.584	6.642
317921	mini	value	2	58	58	58	0	58	0	0	0
317935	full	value	6	50.7	69.4	55.95	8.825	58.033	7.13	2.911	7.482
317958	mini	value	3	58.1	65.3	61.7	3.6	61.7	3.6	2.078	8.943
317959	full	value	5	52.7	58.1	55	3.2	54.96	2.265	1.013	2.812
317974	mini	value	2	53.6	53.6	53.6	0	53.6	0	0	0
318005	mini	value	3	50.9	52.7	51.8	0.9	51.8	0.9	0.52	2.236
318021	full	value	4	56.9	77.5	64.75	7.025	65.975	8.589	4.294	13.667
318025	full	value	4	67.8	80.2	75.95	4.525	74.975	5.244	2.622	8.344
318029	mini	value	3	53.4	54.4	53.9	0.5	53.9	0.5	0.289	1.242
318030	full	value	5	59.4	72.6	65.5	5.5	65.52	5.078	2.271	6.305
318034	full	value	5	79.3	89.4	83.1	3.6	83.12	3.984	1.782	4.947
318035	full	value	6	58.8	65.6	60.5	0.95	61.1	2.349	0.959	2.465
318050	full	value	6	54.1	79.5	65.4	12.55	65.633	9.644	3.937	10.121
318058	mini	value	3	59.2	61.1	60.2	0.95	60.167	0.95	0.549	2.361
