sample	method	variable	n	min	max	median	iqr	mean	sd	se	ci
300957	mini	value	3	72.4	80.2	76.3	3.9	76.3	3.9	2.252	9.688
300962	mini	value	3	51.4	58.8	55.1	3.7	55.1	3.7	2.136	9.191
300963	mini	value	3	53.9	55.8	54.8	0.95	54.833	0.95	0.549	2.361
300966	mini	value	2	55.6	55.6	55.6	0	55.6	0	0	0
300968	mini	value	3	50.3	52.5	51.4	1.1	51.4	1.1	0.635	2.733
300972	mini	value	2	62.3	62.3	62.3	0	62.3	0	0	0
300974	mini	value	3	64.1	66.1	65.1	1	65.1	1	0.577	2.484
300975	mini	value	3	60.7	62.6	61.7	0.95	61.667	0.95	0.549	2.361
300978	mini	value	2	53.6	53.6	53.6	0	53.6	0	0	0
300992	mini	value	3	55.2	62.6	58.9	3.7	58.9	3.7	2.136	9.191
300996	mini	value	3	70.3	71	70.7	0.35	70.667	0.351	0.203	0.872
301000	mini	value	3	58.9	60.6	59.8	0.85	59.767	0.85	0.491	2.113
301001	mini	value	2	89.9	89.9	89.9	0	89.9	0	0	0
301003	mini	value	3	55.9	55.9	55.9	0	55.9	0	0	0
301007	mini	value	3	54.9	66.8	60.8	5.95	60.833	5.95	3.435	14.781
301009	mini	value	2	57.8	57.8	57.8	0	57.8	0	0	0
301013	mini	value	2	53	53	53	0	53	0	0	0
301014	mini	value	3	55.5	58.5	57	1.5	57	1.5	0.866	3.726
301015	mini	value	3	57.2	67.5	62.4	5.15	62.367	5.15	2.973	12.794
301021	mini	value	3	52.7	54.3	53.5	0.8	53.5	0.8	0.462	1.987
301024	mini	value	2	53.8	53.8	53.8	0	53.8	0	0	0
301025	mini	value	3	60.4	62.1	61.2	0.85	61.233	0.85	0.491	2.113
301028	mini	value	3	68.8	71.2	70	1.2	70	1.2	0.693	2.981
301032	mini	value	3	59.4	73.1	66.2	6.85	66.233	6.85	3.955	17.016
301033	mini	value	3	72.3	76.7	74.5	2.2	74.5	2.2	1.27	5.465
301039	mini	value	3	55.5	57	56.2	0.75	56.233	0.751	0.433	1.864
